"","Group.1","Group.2","rates","alpha","sigma.sq","theta","expected_mean","expected_var"
"1","Alysseae","annual",0.0516133349821905,6.22818656095876,0.00420731255579259,-2.58720646478645,-2.61307182638171,0.000357278083701684
"2","Antirrhineae","annual",0.0315375110052371,0.0595630144133676,4.76577697988283e-05,4.163526466821,4.1631921522457,0.00040350625234991
"3","Apioideae","annual",0.0136908183368412,0.116719060816972,5.17243960648641e-05,2.79702488260165,0.0871026981518526,0.000369858488256247
"4","Arabideae","annual",1.57546449445299,1.02115052413358,0.00222511814229441,-8.90573228240788,-9.37035768007303,0.00108990170121952
"5","Balsamiaceae","annual",0.0140457394967455,0.00331545121068881,2.62748665741925e-05,4.3332298802091,5.05802729529813,0.0016041534646552
"6","Brassiceae","annual",0.0594032684316026,8.37844031938532,0.00515641339983888,2.79205994579121,2.7914737633231,0.000314260160057025
"7","Cardamineae","annual",0.0371052919525413,14.9016983958969,0.00896339353639863,-0.855773407924062,-0.957927500599681,0.000311572768770523
"8","Cardueae","annual",0.0795168916757498,0.0474513757330319,5.89456187875286e-05,24.2413272081635,5.22621162695896,0.000757994658247413
"9","CES","annual",0.0898314604645892,0.000610352932806658,4.96999785923985e-05,-6.98370559445988,-8.09441065802741,0.00108716922830155
"10","Chamaecrista","annual",0.0776548005256081,0.0637740416157685,1.30832863813373e-05,17.7269466412034,17.5173650899181,0.00010644629193071
"12","Croton","annual",0.0478909604338944,0.0820085786928779,0.000124711616857283,0.358933743070452,5.8130284679724,0.000677112062768663
"13","Erysimeae","annual",0.183341520135236,0.13095500012227,0.000213875696771222,-5.43261069918685,-5.43138505660704,0.000993150577763447
"14","Euclidieae","annual",0.0433297922120316,0.784840522146949,0.00137341541741745,-9.47051880986919,-9.57206759349231,0.00107547168825085
"15","Eumalvoideae","annual",0.044996916444568,0.0400512011946004,4.36515967055911e-05,10.77295753986,9.68704455703812,0.000543523957698917
"16","Gesneriaceae","annual",0.0120057125709935,1.7956262037323e-05,1.85576924782182e-05,32.299080292951,11.3510570287398,0.0012811207782624
"17","Grewioideae","annual",0.0188414979685892,0.0311620812441212,2.40135475237282e-05,14.1142749347283,14.2676253403756,0.000389774553839276
"18","Heliophileae","annual",0.0354376749797914,0.72214291746451,6.28343981747783e-05,4.42898155373075,4.42874100766494,6.41840245344714e-05
"19","Hypericum","annual",0.0850591199092937,0.388135081793602,0.000399046615446435,3.66568345321309,3.6064848667873,0.000524399047122916
"20","Lepidieae","annual",0.241672754073711,0.156440811318201,0.000475881476459977,1.37135045509729,1.53084075150133,0.00201486664068224
"21","Lupinus","annual",0.0298837961471377,8.05147377593639e-05,1.84948165251745e-05,2.92253970625666,2.922507329768,0.000370044594264282
"22","Lysimachieae","annual",0.0331746071356459,0.018458619873681,1.64825281325129e-05,4.78979231235331,-0.226401986112705,0.00108976401469255
"23","Onagraceae","annual",0.0729174960221452,0.327718624180662,0.000561606712153593,1.74824217369564,1.74069860917206,0.000863189783724657
"24","Orobanchaceae","annual",0.0536697788428693,0.305942900219621,0.000591555469871419,0.346735110196732,-0.226173204428449,0.000965338365119217
"25","Panicoideae","annual",0.0280607099443618,0.89663703807266,0.000691731608405834,11.7845864755067,11.7886471844075,0.000376039594596397
"26","Polemoniaceae","annual",0.0135969668130513,0.0372412328647872,3.41377478533104e-05,0.0627261475232785,0.0713654252354559,0.000622393790529284
"27","Pooideae","annual",0.0346164381016203,7.6006083187614,0.00550048912341555,0.555339007992814,0.467647617494833,0.000364784077611784
"28","Primulaceae","annual",0.0277415274884754,1.80320897211718,0.00309142179604961,-8.80199418058373,-8.80199381843181,0.000751871917137287
"29","Rubieae","annual",0.120700037378941,14.8097802319351,0.0056135727958352,2.15523061855617,2.15510356335733,0.000193129678537856
"30","Salvia","annual",0.0185780419015718,0.0885072827199252,7.57606921227431e-05,4.04848497263288,3.96820795565276,0.000429133984722154
"31","Solanaceae","annual",0.03417267939895,0.115933271490112,0.000156356058510078,7.97218074869255,8.47110922538155,0.000673718140411776
"32","Spermacoceae","annual",0.0357703507078671,0.13939209788917,0.000148985358110781,14.4334212945036,14.0807734309387,0.000527813471019987
"33","Thelypodieae","annual",0.0311870463853025,0.760675283720626,0.00024655881240351,2.44353162526193,1.62625783523868,0.000148932649848457
"34","Alysseae","perennial",0.0268003930487074,6.22818656095876,0.00449873629142987,-3.03471740451022,-3.01412856238636,0.000367182495741329
"35","Antirrhineae","perennial",0.0111881808280022,0.0595630144133676,5.19005039468799e-05,4.15231742240007,4.15845512094467,0.000423464451759937
"36","Apioideae","perennial",0.0139138752543605,0.116719060816972,0.000194076646299163,-3.49069131876058,-3.43560573121101,0.000826351284428452
"37","Arabideae","perennial",0.255185898457581,1.02115052413358,0.00222780196947712,-10.2481798285718,-10.2413477865056,0.00109115436658178
"38","Balsamiaceae","perennial",0.0146732499103139,0.00331545121068881,7.36688942252744e-05,1534.91229570453,9.94250782568872,0.00229978961678287
"39","Brassiceae","perennial",0.0252894094696965,8.37844031938532,0.00557600224139905,0.978042918062386,0.995019288615651,0.000328238293727282
