"","Group.1","Group.2","rates","alpha","sigma.sq","theta","expected_mean","expected_var"
"1","Alysseae","annual",0.0474191245227564,0.381856370348159,0.163958180719289,0.384962981537649,0.386800361247086,0.212132130942341
"2","Antirrhineae","annual",0.0330011351779017,0.0559246670984821,0.0663745310271976,0.245461773212623,0.247577224881009,0.597393766905518
"3","Apioideae","annual",0.0127288703539631,0.0863932114329668,0.0900074579351805,0.325641611874701,0.433354096253426,0.520836353879477
"4","Arabideae","annual",6.71605987335627,13.2761942813686,6.8447909571465,0.560779370421946,0.573073422074851,0.25928284122532
"5","Balsamiaceae","annual",0.0151486151833671,0.444776598200809,0.115730935265165,0.910518572615424,0.919452908207368,0.129887988259471
"6","Brassiceae","annual",0.0548214601869224,4.47560604641973,5.86102178930136,0.328442352133364,0.328413071456482,0.655330170097257
"7","Cardamineae","annual",0.0263481966672748,7.88857953493748,2.49072210966461,0.756456107469349,0.76613675575787,0.158320559014819
"8","Cardueae","annual",0.0743041373352325,0.120697293571046,0.0710764798736237,0.403472947421529,0.403435336177438,0.302653297897745
"9","CES","annual",0.105571903134303,0.215275400846596,0.174909661856391,0.234744947700671,0.235633996544728,0.455858309141134
"10","Chamaecrista","annual",0.0929824774384083,0.0103708388494772,0.00544259231580744,0.842221473260663,0.84571573610945,0.171535965698608
"12","Croton","annual",0.348783803105543,0.0901560198184865,0.511930325289788,0.680614327612367,0.731097935937359,1.96985870128587
"13","Erysimeae","annual",0.16419710004404,0.468292822121699,0.250678170099462,0.379963413077839,0.380803700947937,0.272149734053953
"14","Euclidieae","annual",0.0417283563689569,0.831705865522114,0.256432562416162,0.151094207350362,0.151608889454349,0.294025229951654
"15","Eumalvoideae","annual",0.444748918727372,0.0658369161398632,0.140339642482794,0.33734537073875,0.359144602426199,1.03197493652489
"16","Gesneriaceae","annual",0.00282602147533018,0.0353012930013983,0.00391240354935069,1.50023931394885,1.29835025105344,0.0896955487848015
"17","Grewioideae","annual",0.0184258675384189,0.0234099852117389,0.0291452872081558,0.43346656789887,0.568837830816181,0.563722704104162
"18","Heliophileae","annual",0.0348018701783469,0.295429622376362,0.153276673383749,0.114948271303316,0.11498845935989,0.296862554724558
