"","climatic_variable","parameter","annual","perennial","sig","phylo_mean","se","pvalue"
"1","bio_1","waiting_times",85.3692686240463,89.7019679683978,"-",8.77515147361071,144.145041750089,0.951860739884112
"2","bio_1","alpha",1.98923903661092,1.98923903661092,NA,NA,NA,NA
"3","bio_1","sigma.sq",0.000810175261208443,0.00108045762394629,"-",-0.000270283809188316,0.000186699545019839,0.158073222556704
"4","bio_1","theta",5.66535583259889,5.65689622184667,"*",0.00769307903787709,0.00293909298958801,0.0137450271582113
"5","bio_4","waiting_times",39.2581826595039,90.5313712590276,"-",-66.01074756433,47.0002168787461,0.170446131644024
"6","bio_4","alpha",0.740623464368273,0.740623464368273,NA,NA,NA,NA
"7","bio_4","sigma.sq",0.0776336036528528,0.0992611377409675,"-",-0.021627712765769,0.0123968740036853,0.0912912196610371
"8","bio_4","theta",6.918118881572,6.53192986549177,"-",0.621353806971246,0.586253478061536,0.29766174434772
"9","bio_5","waiting_times",40.6189577893786,87.8450597233505,"-",-57.7682463059132,38.2076274770614,0.14100872237883
"10","bio_5","alpha",1.19983468097007,1.19983468097007,NA,NA,NA,NA
"11","bio_5","sigma.sq",0.000628361319596521,0.00042341295706157,"-",0.000204953146498303,0.000258493959887321,0.434077206191454
"12","bio_5","theta",5.70847140866587,5.69604647582417,"*",0.0113906946169788,0.00302954898532314,0.000735416999279521
"13","bio_6","waiting_times",36.2541368034281,85.1852539867711,"-",-64.4809753142522,54.1146999310966,0.242775010817026
"14","bio_6","alpha",1.8465369982039,1.8465369982039,NA,NA,NA,NA
"15","bio_6","sigma.sq",0.00128549025621778,0.00289139855296602,"-",-0.00160865913648452,0.000808977444498984,0.0559453590683021
"16","bio_6","theta",5.6879234716934,5.72947017879329,"-",-0.145087548227389,0.347823350996838,0.679553326850223
"17","bio_12","waiting_times",51.3604982600217,80.0025973689958,"-",-39.0916874435093,58.5501152417825,0.509453343261722
"18","bio_12","alpha",0.929337931863402,0.929337931863402,NA,NA,NA,NA
"19","bio_12","sigma.sq",0.478587344194996,0.489068378515726,"-",-0.0104809902646078,0.0151644820170226,0.494782763097382
"20","bio_12","theta",6.24437396698563,6.60291979735912,"-",-0.493239329862878,0.317491018689925,0.130778155802501
"21","bio_14","waiting_times",32.8252702939084,89.6566003842621,"-",-80.8882335552757,56.7224521352326,0.164181814938985
"22","bio_14","alpha",0.621607907214071,0.621607907214071,NA,NA,NA,NA
"23","bio_14","sigma.sq",0.910164944139362,0.999995108382178,"-",-0.0898321814916489,0.100220752204901,0.37720611219102
"24","bio_14","theta",2.23011928225802,2.52669684936086,"*",-0.399534726638961,0.150839334357467,0.0127597964523509
"25","bio_15","waiting_times",37.8779560934885,86.4954796587674,"-",-60.169663063853,37.7239154733123,0.121194495618062
"26","bio_15","alpha",1.2035332456438,1.2035332456438,NA,NA,NA,NA
"27","bio_15","sigma.sq",0.447246520248358,0.452026551647935,"-",-0.00478003136285629,0.00847557150084343,0.57696171545657
"28","bio_15","theta",3.95223060037591,3.90288718637863,"-",0.0908328804634138,0.0997012701219225,0.369531533628597
"29","bio_ai","waiting_times",39.3285727676875,82.4592874036612,"-",-54.2487349116899,35.824091818381,0.140413288410258
"30","bio_ai","alpha",1.26522438194883,1.26522438194883,NA,NA,NA,NA
"31","bio_ai","sigma.sq",0.781132030599422,0.767230520618037,"-",0.0139015974531168,0.0250773740774123,0.583449842119084
"32","bio_ai","theta",8.21663384226375,8.76450562082441,"-",-0.682279507305903,0.508236871193012,0.189523057187504
