"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Draba_soratensis",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_rositae",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_densifolia",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_depressa",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_jorullensis",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_obovata",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_lapaziana",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_aretioides",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_hallii",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_hookeri",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_cuzcoensis",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_nivicola",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_macleanii",0.144314930196943,1.52370346898256,0.00149370314575569,5.62388522298388,"perennial"
"Draba_splendens",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_discoidea",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_sphaeroides",0.144314920692417,1.52370346898256,0.00149370314575929,5.62388522298388,"perennial"
"Draba_subalpina",0.144314918159012,1.52370346898256,0.00149370314576025,5.62388522298388,"perennial"
"Draba_streptobrachia",0.144689422927921,1.52370346898256,0.00149370300376033,5.62388522298388,"perennial"
"Draba_brachystylis",0.106850783098211,1.52370346898256,0.00149364343324074,5.63994426394327,"annual"
"Draba_novolympica",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_sphaerocarpa",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_spectabilis",0.144314918003263,1.52370346898256,0.00149370314576031,5.62388522298388,"perennial"
"Draba_ogilviensis",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_albertina",0.106850783098211,1.52370346898256,0.00149364343324074,5.63994426394327,"annual"
"Draba_stenopetala",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_corrugata",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_crassifolia",0.106850778913729,1.52370346898256,0.00149364343326033,5.63994426394327,"annual"
"Draba_pusilla",0.106850783098211,1.52370346898256,0.00149364343324074,5.63994426394327,"annual"
"Draba_aureola",0.144689566993028,1.52370346898256,0.0014937030037057,5.62388522298388,"perennial"
"Draba_helleriana",0.106850780495476,1.52370346898256,0.00149364343325293,5.63994426394327,"annual"
"Draba_stylosa",0.144314944764481,1.52370346898256,0.00149370314575016,5.62388522298388,"perennial"
"Draba_affghanica",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_stenoloba",0.106850782549091,1.52370346898256,0.00149364343324331,5.63994426394327,"annual"
"Draba_lemmonii",0.144315110328056,1.52370346898256,0.00149370314568739,5.62388522298388,"perennial"
"Draba_ventosa",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_streptocarpa",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_exunguiculata",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_asprella",0.144314921718679,1.52370346898256,0.0014937031457589,5.62388522298388,"perennial"
"Draba_crassa",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_amplexicaulis",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_melanopus",0.106850774263405,1.52370346898256,0.00149364343328211,5.63994426394327,"annual"
"Draba_pauciflora",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_micropetala",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_gracillima",0.106850783098211,1.52370346898256,0.00149364343324074,5.63994426394327,"annual"
"Draba_eriopoda",0.106850783098211,1.52370346898256,0.00149364343324074,5.63994426394327,"annual"
"Draba_trinervis",0.144704992590221,1.52370346898256,0.00149370299785682,5.62388522298388,"perennial"
"Draba_jucunda",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_involucrata",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_cachemirica",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_korshinskyi",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_setosa",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
"Draba_stenocarpa",0.106850315331381,1.52370346898256,0.00149364343543104,5.63994426394327,"annual"
"Draba_olgae",0.144314924245211,1.52370346898256,0.00149370314575794,5.62388522298388,"perennial"
"Draba_yunnanensis",0.144314915717332,1.52370346898256,0.00149370314576118,5.62388522298388,"perennial"
