"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Hydrocera_triflora",0.0136234164954744,0.153207314925379,6.98949990622706e-05,5.67899647731153,"perennial"
"Impatiens_glandulifera",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_sulcata",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_brachycentra",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_balfourii",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_desmantha",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_eubotrya",0.0136234164954744,0.153207314925379,6.98949990622706e-05,5.67899647731153,"perennial"
"Impatiens_siculifer",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_racemosa",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_radiata",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_urticifolia",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_rectangula",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_cyathiflora",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_drepanophora",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_chimiliensis",0.0136234164954744,0.153207314925379,6.98949990622706e-05,5.67899647731153,"perennial"
"Impatiens_devolii",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_purpurea",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_holocentra",0.0136234164954744,0.153207314925379,6.98949990622706e-05,5.67899647731153,"perennial"
"Impatiens_taronensis",0.0136234164954744,0.153207314925379,6.98949990622706e-05,5.67899647731153,"perennial"
"Impatiens_cyanantha",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_fenghwaiana",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_aquatilis",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_uliginosa",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_bicornuta",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_platychlaena",0.0141078053453074,0.153207314925379,6.98784034445647e-05,5.65668697663338,"annual"
"Impatiens_apsotis",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_lecomtei",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_pritzelii",0.0136234164954744,0.153207314925379,6.98949990622706e-05,5.67899647731153,"perennial"
"Impatiens_fissicornis",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_corchorifolia",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_delavayi",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_subecalcarata",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_nubigena",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_davidii",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_capensis",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_pallida",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_noli-tangere",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_faberi",0.0141078053438647,0.153207314925379,6.9878403444564e-05,5.65668697663342,"annual"
"Impatiens_uniflora",0.0141078053175685,0.153207314925379,6.98784034445503e-05,5.65668697663417,"annual"
"Impatiens_oxyanthera",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_forrestii",0.0136234165401216,0.153207314925379,6.98949990622616e-05,5.67899647731203,"perennial"
"Impatiens_textorii",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_clavigera",0.0141078052978467,0.153207314925379,6.98784034445401e-05,5.65668697663474,"annual"
"Impatiens_omeiana",0.0136234164954744,0.153207314925379,6.98949990622706e-05,5.67899647731153,"perennial"
"Impatiens_platypetala",0.0136234164954744,0.153207314925379,6.98949990622706e-05,5.67899647731153,"perennial"
"Impatiens_beccarii",0.0136234164954744,0.153207314925379,6.98949990622706e-05,5.67899647731153,"perennial"
"Impatiens_hawkeri",0.0136234164954744,0.153207314925379,6.98949990622706e-05,5.67899647731153,"perennial"
