"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Cardamine_glacialis",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_lilacina",0.0383250556820469,1.29718208159221,0.48138681261831,6.76727223807416,"annual"
"Cardamine_debilis",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_lacustris",0.0382739460808356,1.29718208159221,0.48138681261831,6.76727970627646,"annual"
"Cardamine_umbellata",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_corymbosa",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_bilobata",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_macrophylla",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_victoris",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_blaisdellii",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_purpurea",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_digitata",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_prorepens",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_yezoensis",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_microphylla",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_angulata",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_californica",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_nuttallii",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_longii",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_breweri",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
"Cardamine_cordifolia",0.0358502333710587,1.29718208159221,0.6798170517952,6.74828046992987,"perennial"
