"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Lupinus_weberbaueri",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_tominensis",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_ballianus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_misticola",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_sarmentosus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_ramosissimus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_mutabilis",0.0299850611698123,0.0329621925024944,0.0470137984212914,6.3207553780061,"annual"
"Lupinus_microphyllus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_semperflorens",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_pubescens",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_bogotensis",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_montanus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_huachucanus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_elegans",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_aschenbornii",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_mexicanus",0.0299850611698123,0.0329621925024944,0.0470137984212914,6.3207553780061,"annual"
"Lupinus_nootkatensis",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_arcticus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_perennis",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_leucophyllus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_sulphureus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_andersonii",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_nevadensis",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_polyphyllus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_argenteus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_neomexicanus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_sericeus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_littoralis",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_rivularis",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_arboreus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_chamissonis",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
"Lupinus_albicaulis",0.0299860205182998,0.0329621925024944,0.0470138113770756,6.3207553780061,"annual"
"Lupinus_lepidus",0.0782951748299852,0.0329621925024944,0.105364935443495,8.2002968918335,"perennial"
