"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Lysimachia_maxima",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_clethroides",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_fortunei",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_barystachys",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_candida",0.0360263923830124,0.130331830507609,0.026916666339245,6.93186054951494,"annual"
"Lysimachia_lobelioides",0.0360243094558707,0.130331830507609,0.0269153232069803,6.93188591128034,"annual"
"Lysimachia_lichiangensis",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_taliensis",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_decurrens",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_silvestrii",0.0360287186611471,0.130331830507609,0.0269177885333281,6.93183462427708,"annual"
"Lysimachia_auriculata",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_circaeoides",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_glanduliflora",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_stenosepala",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_ruhmeriana",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_mauritiana",0.0360268025830875,0.130331830507609,0.0269166601998898,6.9318572736535,"annual"
"Lysimachia_pentapetala",0.0360431284116075,0.130331830507609,0.0269254494330033,6.93166952800471,"annual"
"Lysimachia_crispidens",0.0360281162645928,0.130331830507609,0.0269168812640256,6.93184525386321,"annual"
"Lysimachia_omeiensis",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_hemsleyi",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_rubiginosa",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
"Lysimachia_fistulosa",0.0286335800639859,0.130331830507609,0.0312239926485925,6.86290626571248,"perennial"
