"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Solanum_chenopodinum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_ferocissimum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_stelligerum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_latens",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_chenopodium",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_gympiense",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_densevestitum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_nemophilum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_hapalum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_johnsonianum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_discolor",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_×shirleyanum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_corifolium",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_cookii",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_dissectum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_stupefactum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_furfuraceum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_rixosum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_sandwicense",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_mitchellianum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_semiarmatum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_viridifolium",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_macoorai",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_dimorphispinum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_amblymerum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_limitare",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_nobile",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_argopetalum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_papaverifolium",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_sturtianum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_stenopterum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_quadriloculatum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_centrale",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_esuriale",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_cinereum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_ditrichum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_vicinum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_elachophyllum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_jucundum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_tetrathecum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_oligacanthum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_chippendalei",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_carduiforme",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_echinatum",0.0165010023070775,0.0663000091237357,0.0841226570766291,6.49220912494293,"annual"
"Solanum_lucani",0.0165010023070775,0.0663000091237357,0.0841226570766291,6.49220912494293,"annual"
"Solanum_myoxotrichum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_batoides",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_bumeliifolium",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_heinianum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_toliaraea",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_campylacanthum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_incanum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_arundo",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_cerasiferum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
"Solanum_linnaeanum",0.0108279155106746,0.0663000091237357,0.0841226570766291,6.49220912494293,"perennial"
