"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Centaurea_napifolia",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Centaurea_diluta",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Centaurea_solstitialis",0.0743458830475576,0.133247557107881,0.265124984867114,2.18891673764681,"annual"
"Centaurea_melitensis",0.0743458830475576,0.133247557107881,0.265124984867114,2.18891673764681,"annual"
"Centaurea_sulphurea",0.074345883053716,0.133247557107881,0.265124984867114,2.18891673724196,"annual"
"Centaurea_iberica",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Centaurea_calcitrapa",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Centaurea_bruguierana",0.0743458831287805,0.133247557107881,0.265124984867092,2.18891673778952,"annual"
"Centaurea_behen",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Centaurea_diffusa",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Centaurea_stoebe",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Centaurea_virgata",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Centaurea_parlatoris",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Centaurea_cineraria",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Centaurea_jacea",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Centaurea_benedicta",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Centaurea_montana",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Centaurea_cyanus",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Centaurea_depressa",0.0743458830481439,0.133247557107881,0.265124984867114,2.18891673760827,"annual"
"Carthamus_lanatus",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Carthamus_creticus",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Carthamus_leucocaulos",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Carthamus_oxyacanthus",0.0743458830474885,0.133247557107881,0.265124984867114,2.18891673765135,"annual"
"Carthamus_tinctorius",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Carthamus_caeruleus",0.0125601223401294,0.133247557107881,0.265127499118589,2.21302383495447,"perennial"
"Centaurea_ragusina",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Crupina_vulgaris",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Mantisalca_salmantica",0.0125601223581799,0.133247557107881,0.265127499118589,2.2130238356453,"perennial"
"Zoegea_leptaurea",0.0743458830468353,0.133247557107881,0.265124984867114,2.18891673769429,"annual"
"Centaurea_tweediei",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Plectocephalus_americanus",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Klasea_serratuloides",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Callicephalus_nitens",0.0743458830536234,0.133247557107881,0.265124984867114,2.18891673724805,"annual"
"Serratula_coronata",0.0125601223583288,0.133247557107881,0.265127499118589,2.213023835651,"perennial"
"Acroptilon_repens",0.0125601201563542,0.133247557107881,0.265127499118589,2.21302375137731,"perennial"
"Rhaponticum_acaule",0.0125601201590991,0.133247557107881,0.265127499118589,2.21302375148236,"perennial"
"Cheirolophus_teydis",0.0125601200762067,0.133247557107881,0.265127499118589,2.21302374830991,"perennial"
"Volutaria_crupinoides",0.0125601223528932,0.133247557107881,0.265127499118589,2.21302383544296,"perennial"
"Arctium_lappa",0.0125601223490872,0.133247557107881,0.265127499118589,2.21302383529731,"perennial"
"Cousinia_umbrosa",0.0125601223471965,0.133247557107881,0.265127499118589,2.21302383522494,"perennial"
"Jurinea_humilis",0.0125601223515244,0.133247557107881,0.265127499118589,2.21302383539058,"perennial"
"Jurinea_carduiformis",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Himalaiella_deltoidea",0.0743458830453868,0.133247557107881,0.265124984867114,2.18891673778952,"annual"
"Saussurea_discolor",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Saussurea_manshurica",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Saussurea_alpina",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Saussurea_americana",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Saussurea_maximowiczii",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Saussurea_elegans",0.0125601223588674,0.133247557107881,0.265127499118589,2.21302383567161,"perennial"
"Cirsium_quercetorum",0.0125601223512328,0.133247557107881,0.265127499118589,2.21302383537942,"perennial"
"Cirsium_andrewsii",0.0125601223512328,0.133247557107881,0.265127499118589,2.21302383537942,"perennial"
"Cirsium_crassicaule",0.0743458832004995,0.133247557107881,0.265124984867074,2.18891673749733,"annual"
"Cirsium_douglasii",0.0125601223512328,0.133247557107881,0.265127499118589,2.21302383537942,"perennial"
