"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Chamaecrista_decumbens",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_brachyrachis",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_filicifolia",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_feliciana",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_benthamiana",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_azulana",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_densifolia",0.00982739053136295,0.073705254019358,0.104523591605268,2.7557986627594,"perennial"
"Chamaecrista_planaltoana",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_polita",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_nummulariifolia",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_nanodes",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_macedoi",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_multipennis",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_sincorana",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_glaucofilix",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_hispidula",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_rupestrium",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_botryoides",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_neesiana",0.0101451513428235,0.073705254019358,0.104523471381423,2.75579866271505,"perennial"
"Chamaecrista_isidorea",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_scabra",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_multiseta",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_campicola",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_altoana",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_coradinii",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_setosa",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_pachyclada",0.00982700908415327,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_cathartica",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_ciliolata_var._pulchella",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_philippii",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_urophyllidia",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_dalbergiifolia",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_absus",0.0992823554143703,0.073705254019358,0.0694121314341843,2.72743857382123,"annual"
"Chamaecrista_jacobinea",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_belemii",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_brevicalyx",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_viscosa_var._paraguayensis",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_campestris",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_fagonioides",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_cardiostegia",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_rotundata_var._interstes",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_tragacanthoides_var._rasa",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_cinerascens",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_burchellii",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_mucronata",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_potentilla",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_olesiphylla",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_latifolia",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_choriophylla",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_simplifacta",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_flexuosa",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_swainsonii",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_desvauxii_var._mollissima",0.0345638136724537,0.073705254019358,0.104514243774847,2.75579866272848,"perennial"
"Chamaecrista_diphylla",0.0992823554143703,0.073705254019358,0.0694121314341843,2.72743857382123,"annual"
"Chamaecrista_venulosa",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_roraimae",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_calycioides",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_lineata",0.0297287182603439,0.073705254019358,0.104518607530685,2.75579944313085,"perennial"
"Chamaecrista_nictitans_subsp._brachypoda",0.0992823554143703,0.073705254019358,0.0694121314341843,2.72743857382123,"annual"
"Chamaecrista_nictitans_subsp._disadena",0.0992823554143703,0.073705254019358,0.0694121314341843,2.72743857382123,"annual"
"Chamaecrista_pascuorum",0.00982924091209941,0.073705254019358,0.104523591605268,2.75579866297453,"perennial"
"Chamaecrista_repens",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_rotundifolia_var._grandiflora",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_pilosa",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_decora",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_brachystachya",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_cytisoides",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_confertiformis",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_unijuga",0.00982853237266211,0.073705254019358,0.104523591605268,2.75579866289215,"perennial"
"Chamaecrista_onusta",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
"Chamaecrista_amorimii",0.00982700908396915,0.073705254019358,0.104523591605268,2.75579866271505,"perennial"
