"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Heliophila_crithmifolia",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_seselifolia",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_suborbicularis",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_suavissima",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_variabilis",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_carnosa",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_rigidiuscula",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_trifurca",0.0350558578963881,0.0461112891444153,0.0516606500462714,1.9715887301846,"annual"
"Heliophila_collina",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_pubescens",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_pectinata",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_deserticola",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_amplexicaulis",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_gariepina",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_dregeana",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_maraisiana",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_hurkana",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_glauca",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_nubigena",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_elongata",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_bulbostyla",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_linoides",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_digitata",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_arenosa",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_arenaria",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_elata",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_acuminata",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_macowaniana",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_coronopifolia",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_africana",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_cornuta",0.0195211155780734,0.0461112891444153,0.0429360307550595,3.03400287193542,"perennial"
"Heliophila_namaquana",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_lactea",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_refracta",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_pusilla",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_subulata",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
"Heliophila_pinnata",0.0350558288232677,0.0461112891444153,0.0516606500465027,1.9715887301846,"annual"
