"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Linaria_angustissima",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_kurdica",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_vulgaris",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_thibetica",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_michauxii",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_unaiensis",0.0121800189254855,0.189978287175961,0.0743321573938299,3.95943990695728,"perennial"
"Linaria_pyramidalis_subsp._kopetdaghensis",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_lineolata",0.0121800189200861,0.189978287175961,0.0743321574000202,3.95943990695728,"perennial"
"Linaria_cretacea",0.0121800200034122,0.189978287175961,0.0743321574000197,3.9594399069708,"perennial"
"Linaria_incompleta",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_japonica",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_dalmatica",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_striatella",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_sessilis",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_venosa",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_bamianica",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_loeselii",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_odora",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_peloponnesiaca",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_repens",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_triphylla",0.0287125840567697,0.189978287175961,0.0699409191804042,3.93790785871839,"annual"
"Linaria_cavanillesii",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_nivea",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_purpurea",0.0121800189204927,0.189978287175961,0.074332157399554,3.95943990695728,"perennial"
"Linaria_reflexa",0.0287121006887549,0.189978287175961,0.0699408927104292,3.93790785888062,"annual"
"Linaria_latifolia",0.028712370010266,0.189978287175961,0.0699408925622041,3.93790784014769,"annual"
"Linaria_oblongifolia_subsp._haenseleri",0.0287486522936697,0.189978287175961,0.069940919179668,3.93790537483942,"annual"
"Linaria_oblongifolia",0.0287486522936697,0.189978287175961,0.069940919179668,3.93790537483942,"annual"
"Linaria_saturejoides",0.0287486522936697,0.189978287175961,0.069940919179668,3.93790537483942,"annual"
"Linaria_amoi",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_verticillata",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_glacialis",0.0287486544945509,0.189978287175961,0.0699409191804286,3.9379053746888,"annual"
"Linaria_platycalyx",0.0287486544945509,0.189978287175961,0.0699409191804286,3.9379053746888,"annual"
"Linaria_verticillata_subsp._cuartanensis",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_anticaria",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_tristis",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_lilacina",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_aeruginea",0.0287486478337451,0.189978287175961,0.0699409188600962,3.93790537474596,"annual"
"Linaria_tristis_subsp._mesatlantica",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_tristis_subsp._pectinata",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Linaria_thymifolia",0.0287125816058519,0.189978287175961,0.0699409186545686,3.93790785822823,"annual"
"Linaria_supina",0.0287120995645512,0.189978287175961,0.0699408926505407,3.93790785888265,"annual"
"Linaria_depauperata",0.028712099570507,0.189978287175961,0.0699408926508682,3.93790785888265,"annual"
"Linaria_simplex",0.0287120985770608,0.189978287175961,0.0699408925957606,3.93790785888196,"annual"
"Linaria_micrantha",0.0287120985696834,0.189978287175961,0.0699408925959131,3.93790785888265,"annual"
"Linaria_arvensis",0.0287121056968582,0.189978287175961,0.0699408929872139,3.93790785888265,"annual"
"Linaria_huteri",0.0287120982339227,0.189978287175961,0.0699408925641416,3.93790785886627,"annual"
"Linaria_bubanii",0.0287120980920368,0.189978287175961,0.0699408925660004,3.93790785887639,"annual"
"Linaria_badalii",0.0287120987927113,0.189978287175961,0.0699408925623667,3.9379078588255,"annual"
"Linaria_munbyana",0.0287121109341457,0.189978287175961,0.0699408925622015,3.93790785798925,"annual"
"Linaria_oligantha",0.0287120980017442,0.189978287175961,0.0699408925644375,3.93790785888265,"annual"
"Linaria_alpina",0.0287120979949963,0.189978287175961,0.0699408925640838,3.93790785888265,"annual"
"Linaria_hirta",0.028712161704097,0.189978287175961,0.0699408925673685,3.93790785449709,"annual"
"Linaria_canadensis",0.0287120987649973,0.189978287175961,0.0699408925681909,3.9379078588348,"annual"
"Linaria_texana",0.028712097961065,0.189978287175961,0.0699408925622026,3.93790785888266,"annual"
"Linaria_armeniaca",0.0287120979902048,0.189978287175961,0.0699408925638031,3.93790785888265,"annual"
"Linaria_chalepensis",0.028712098494531,0.189978287175961,0.0699408925622015,3.93790785884592,"annual"
"Linaria_pelisseriana",0.0287120979751192,0.189978287175961,0.0699408925635346,3.93790785888266,"annual"
"Linaria_triornithophora",0.0121800189364089,0.189978287175961,0.0743321573813066,3.95943990695728,"perennial"
"Linaria_clementei",0.0122289679141724,0.189978287175961,0.0743321573412902,3.95944051793697,"perennial"
"Linaria_salzmannii",0.0287371690412074,0.189978287175961,0.0699409154946495,3.93790616107835,"annual"
"Linaria_incarnata",0.0287322180503339,0.189978287175961,0.0699408936446694,3.93790647464626,"annual"
"Linaria_viscosa",0.0287120982172157,0.189978287175961,0.0699408925677004,3.93790785887192,"annual"
"Linaria_bordiana",0.0287120979614064,0.189978287175961,0.069940892562221,3.93790785888265,"annual"
"Linaria_tenuis",0.0287120982739592,0.189978287175961,0.0699408925794057,3.93790785888266,"annual"
"Linaria_bipartita",0.0287120979610586,0.189978287175961,0.0699408925622021,3.93790785888265,"annual"
"Linaria_pedunculata",0.0287120982322044,0.189978287175961,0.0699408925622015,3.93790785886398,"annual"
"Linaria_gharbensis",0.0287120979842817,0.189978287175961,0.0699408925634777,3.93790785888265,"annual"
"Linaria_nigricans",0.0287120979615374,0.189978287175961,0.0699408925622281,3.93790785888266,"annual"
"Sairocarpus_nuttallianus",0.0287121001119477,0.189978287175961,0.0699408925722943,3.93790785874718,"annual"
"Sairocarpus_watsonii",0.0287128281071039,0.189978287175961,0.0699408925622259,3.93790780860039,"annual"
"Gambelia_juncea",0.0121800189201028,0.189978287175961,0.0743321574000009,3.95943990695728,"perennial"
"Gambelia_speciosa",0.012180018920159,0.189978287175961,0.0743321573999364,3.95943990695728,"perennial"
"Sairocarpus_kingii",0.0287120979871513,0.189978287175961,0.0699408925636357,3.93790785888265,"annual"
"Mohavea_breviflora",0.028712098112931,0.189978287175961,0.0699408925624483,3.93790785887237,"annual"
"Mohavea_confertiflora",0.0287120979636562,0.189978287175961,0.0699408925624483,3.93790785888265,"annual"
"Neogaerrhinum_filipes",0.0287120981001212,0.189978287175961,0.0699408925698419,3.93790785888265,"annual"
"Misopates_calycinum",0.0287120980240836,0.189978287175961,0.0699408925624758,3.93790785887866,"annual"
"Misopates_orontium",0.0287121107267474,0.189978287175961,0.0699408925626678,3.93790785800412,"annual"
"Misopates_microcarpum",0.0287120987911878,0.189978287175961,0.0699408925622223,3.9379078588255,"annual"
"Antirrhinum_latifolium",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_molle",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_sempervirens",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_majus",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_tortuosum",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_graniticum",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_pertegasii",0.0121800189386969,0.189978287175961,0.0743321573786838,3.95943990695728,"perennial"
"Antirrhinum_pulverulentum",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_grosii",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_meonanthum",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_siculum",0.0121800189381994,0.189978287175961,0.0743321573792539,3.95943990695728,"perennial"
"Antirrhinum_australe",0.0121800189381994,0.189978287175961,0.0743321573792539,3.95943990695728,"perennial"
"Antirrhinum_valentinum",0.0121800189381994,0.189978287175961,0.0743321573792539,3.95943990695728,"perennial"
"Antirrhinum_hispanicum",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_charidemi",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Antirrhinum_controversum",0.0121800189382286,0.189978287175961,0.0743321573792203,3.95943990695728,"perennial"
"Chaenorhinum_macropodum",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Chaenorhinum_raveyi",0.0287486544036455,0.189978287175961,0.0699409191804286,3.93790537469506,"annual"
"Chaenorhinum_grandiflorum",0.0287484064693914,0.189978287175961,0.0699409191476787,3.93790539172827,"annual"
"Chaenorhinum_origanifolium",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Chaenorhinum_flexuosum",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Chaenorhinum_robustum",0.0287486498632494,0.189978287175961,0.0699409191804286,3.93790537500774,"annual"
"Chaenorhinum_villosum",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Chaenorhinum_johnstonii",0.0287121156865863,0.189978287175961,0.0699408935359992,3.93790785888265,"annual"
"Chaenorhinum_minus",0.0287120979633423,0.189978287175961,0.0699408925623281,3.93790785888266,"annual"
"Galvezia_fruticosa",0.0121800189206043,0.189978287175961,0.0743321573994259,3.95943990695728,"perennial"
"Pseudorontium_cyathiferum",0.028712098117129,0.189978287175961,0.069940892562202,3.93790785887191,"annual"
"Schweinfurthia_papilionacea",0.0287121054413907,0.189978287175961,0.0699408929600811,3.93790785886627,"annual"
"Schweinfurthia_pterosperma",0.028712099050185,0.189978287175961,0.0699408926032522,3.93790785885879,"annual"
"Cymbalaria_muralis",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Cymbalaria_pubescens",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Cymbalaria_longipes",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Cymbalaria_fragilis",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
"Cymbalaria_aequitriloba",0.0121800189200858,0.189978287175961,0.0743321574000204,3.95943990695728,"perennial"
