"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Festuca_multinodis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_heterophylla",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_rubra",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_queriana",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_nigrescens",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_rothmaleri",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_nevadensis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_ampla",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_iberica",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_rivularis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_agustini",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_hephaestophila",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_plicata",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Wangenheimia_lima",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Festuca_clementei",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_nardifolia",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_rigescens",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_parodiana",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_calligera",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_tolucensis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_cuzcoensis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_ulochaeta",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_andicola",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_edlundiae",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_chimborazensis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_glumosa",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_purpurascens",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_circummediterranea",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_ovina",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_lenensis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_summilusitana",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_indigesta",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_glacialis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_longifolia",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_brachyphylla",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_gracilior",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_valentina",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_hystrix",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_alpina",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_hyperborea",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_halleri",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_brevissima",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_saximontana",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_intercedens",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_pallens",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_pseudodalmatica",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_kolymensis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_viviparoidea",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_vaginata",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_valesiaca",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_arizonica",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_beckeri",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_lemanii",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_idahoensis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_glauca",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_filiformis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_baffinensis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_pyrenaica",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_amethystina",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_occidentalis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_capillifolia",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_contracta",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_richardsonii",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_violacea",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_subverticillata",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_elegans",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_hintoniana",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_californica",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_ligulata",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_thurberi",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_subuliflora",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_dimorpha",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_carpatica",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Festuca_quadriflora",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_gautieri",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_eskia",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_burnatii",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_parvigluma",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_extremiorientalis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_subulata",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Castellia_tuberculosa",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Lolium_temulentum",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Lolium_persicum",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Lolium_canariense",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Lolium_rigidum",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Lolium_perenne",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Lolium_multiflorum",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Festuca_simensis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_marginata",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_amplissima",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_argentina",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_dichoclada",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_breviglumis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_modesta",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_kingii",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_pulchella",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Festuca_altissima",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Festuca_drymeja",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Cutandia_maritima",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Catapodium_marinum",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Cutandia_memphitica",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Desmazeria_sicula",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Parapholis_incurva",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Catapodium_rigidum",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Sphenopus_divaricatus",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Cynosurus_cristatus",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Cynosurus_echinatus",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Dactylis_glomerata",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Lamarckia_aurea",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Antinoria_agrostidea",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Deschampsia_kingii",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_laxa",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_cespitosa",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_chapmanii",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_tenella",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_elongata",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_antarctica",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_venustula",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_parvula",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_klossii",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_patula",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Deschampsia_nubigena",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Helictochloa_pratensis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Ammochloa_palaestina",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Sesleria_argentea",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Sesleria_insularis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Sesleria_caerulea",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Helictochloa_blaui",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Sesleria_tenerrima",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Mibora_minima",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Oreochloa_disticha",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Echinaria_capitata",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Dryopoa_dives",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Scolochloa_festucacea",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Holcus_gayanus",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Holcus_mollis",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Holcus_annuus",0.0252291550247942,8.71583652444739,4.21029625802626,3.84098246544236,"annual"
"Holcus_lanatus",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Poa_clelandii",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
"Poa_fordeana",0.0311284965987007,8.71583652444739,4.21029625802626,3.66684042645349,"perennial"
