"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Erucastrum_strigosum",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Erucastrum_austroafricanum",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Erucastrum_griquense",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Erucastrum_nasturtiifolium",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Erucastrum_gallicum",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Erucastrum_supinum",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Brassica_deflexa",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Morisia_monanthos",0.0263212987291475,1.5146508223325,0.100156760271291,6.78182868713206,"perennial"
"Raffenaldia_primuloides",0.0301834756542198,1.5146508223325,0.100155035753907,6.78168444272191,"perennial"
"Rapistrum_rugosum",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Cordylocarpus_muricatus",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Diplotaxis_ilorcitana",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Brassica_fruticulosa",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Raphanus_sativus",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Raphanus_raphanistrum",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Brassica_barrelieri",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Brassica_oxyrrhina",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Brassica_carinata",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Sinapis_arvensis",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Guiraoa_arvensis",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Brassica_montana",0.0263236129091344,1.5146508223325,0.100156759237976,6.78182860070217,"perennial"
"Brassica_cretica",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Brassica_insularis",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Brassica_napus",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Crambe_orientalis_subsp._orientalis",0.0263590477915214,1.5146508223325,0.100156743415793,6.78182727728178,"perennial"
"Crambe_cordifolia",0.0263473292175471,1.5146508223325,0.100156748648305,6.78182771494655,"perennial"
"Crambe_orientalis",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Crambe_koktebelica",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Crambe_tataria",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Crambe_maritima",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Crambe_aspera",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Crambe_kotschyana",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Crambe_filiformis",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Crambe_kralikii",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Crambe_pritzelii",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Diplotaxis_siifolia",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Enarthrocarpus_arcuatus",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Rapistrum_perenne",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Moricandia_suffruticosa",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Moricandia_moricandioides",0.0263212981356167,1.5146508223325,0.100156760271556,6.78182868715423,"perennial"
"Coincya_longirostra",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Coincya_monensis",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Sinapis_alba",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Cakile_arabica",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Cakile_constricta",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
"Cakile_edentula_var._lacustris",0.0440211644125528,1.5146508223325,0.107409616535778,6.78182406802165,"annual"
