"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Galium_eriocarpum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_kamtschaticum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_trichocarpum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_bermudense",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_circaezans",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_linearifolium",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_multiflorum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_elegans",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_bungei",0.0416326863730364,4.40248024912145,0.000869757851382187,5.69494974813739,"perennial"
"Galium_gaudichaudii",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_ciliare",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_migrans",0.0416326760260069,4.40248024912145,0.000869757851380818,5.69494974813739,"perennial"
"Galium_glandulosum",0.0416327735927005,4.40248024912145,0.000869757851393733,5.69494974813739,"perennial"
"Galium_hirtum",0.0544864921718781,4.40248024912145,0.000755481345999994,5.70546933343581,"annual"
"Galium_bigeminum",0.0544864921718781,4.40248024912145,0.000755481345999994,5.70546933343581,"annual"
"Galium_kinuta",0.0416382188740174,4.40248024912145,0.000869757852114572,5.69494974813739,"perennial"
"Galium_rubioides",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_boreale",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_hypocarpium",0.0416326674233151,4.40248024912145,0.000869757851379679,5.69494974813739,"perennial"
"Galium_humile",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_araucanum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_richardianum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_rotundifolium",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_scabrum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Cruciata_laevipes",0.0416327089779427,4.40248024912145,0.00086975785138518,5.69494974813739,"perennial"
"Cruciata_pedemontana",0.0544864361251683,4.40248024912145,0.000755481345732897,5.70546933343581,"annual"
"Cruciata_articulata",0.0544864392104743,4.40248024912145,0.0007554813457476,5.70546933343581,"annual"
"Valantia_muralis",0.0544864082034811,4.40248024912145,0.000755481345599833,5.70546933343581,"annual"
"Valantia_hispida",0.0544864119939584,4.40248024912145,0.000755481345617897,5.70546933343581,"annual"
"Asperula_conferta",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_palustre",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_innocuum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Asperula_gunnii",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_elongatum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_debile",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Asperula_laevigata",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Asperula_tinctoria",0.0416332071837142,4.40248024912145,0.000869757851451132,5.69494974813739,"perennial"
"Galium_exile",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_graecum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_canum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Asperula_arvensis",0.0544864820369431,4.40248024912145,0.000755481345951694,5.70546933343581,"annual"
"Asperula_orientalis",0.0544864820369431,4.40248024912145,0.000755481345951694,5.70546933343581,"annual"
"Asperula_taurina",0.0416328535686406,4.40248024912145,0.000869757851404321,5.69494974813739,"perennial"
"Asperula_cynanchica",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Asperula_aristata",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Asperula_hirsuta",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Asperula_hirta",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Asperula_purpurea",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Sherardia_arvensis",0.0544864165410832,4.40248024912145,0.000755481345639566,5.70546933343581,"annual"
"Crucianella_maritima",0.0418208553339468,4.40248024912145,0.000869757876291722,5.69494974813739,"perennial"
"Crucianella_macrostachya",0.0544864855462936,4.40248024912145,0.000755481345968419,5.70546933343581,"annual"
"Crucianella_imbricata",0.0544864921718781,4.40248024912145,0.000755481345999994,5.70546933343581,"annual"
"Crucianella_patula",0.0544864921718781,4.40248024912145,0.000755481345999994,5.70546933343581,"annual"
"Crucianella_angustifolia",0.0544864921718781,4.40248024912145,0.000755481345999994,5.70546933343581,"annual"
"Crucianella_latifolia",0.054486404142169,4.40248024912145,0.000755481345580478,5.70546933343581,"annual"
"Asperula_prostrata",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_lucidum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_sylvaticum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_verum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_mirum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_mexicanum_var._asperrimum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_tunetanum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_pseudoasprellum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_aetnicum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_mollugo",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_thymifolium",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_asparagifolium",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_maritimum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_asperifolium",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_acutum",0.0416332221243955,4.40248024912145,0.000869757851453109,5.69494974813739,"perennial"
"Galium_uliginosum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_rivale",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_japonicum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_odoratum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_tricornutum",0.0544863853213678,4.40248024912145,0.000755481345490785,5.70546933343581,"annual"
"Galium_verrucosum",0.0544863913139181,4.40248024912145,0.000755481345519343,5.70546933343581,"annual"
"Galium_aparine",0.0544864365795048,4.40248024912145,0.000755481345735062,5.70546933343581,"annual"
"Galium_spurium",0.0544864365795048,4.40248024912145,0.000755481345735062,5.70546933343581,"annual"
"Galium_monachinii",0.0544864365795048,4.40248024912145,0.000755481345735062,5.70546933343581,"annual"
"Galium_anisophyllon",0.0416362474092701,4.40248024912145,0.000869757851853592,5.69494974813739,"perennial"
"Galium_parisiense",0.0544864921718781,4.40248024912145,0.000755481345999994,5.70546933343581,"annual"
"Galium_valentinum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_divaricatum",0.0544864921718781,4.40248024912145,0.000755481345999994,5.70546933343581,"annual"
"Galium_magellense",0.0416395627370356,4.40248024912145,0.000869757852292471,5.69494974813739,"perennial"
"Galium_corsicum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_noricum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_capitatum",0.0544864645996165,4.40248024912145,0.000755481345868595,5.70546933343581,"annual"
"Galium_minutulum",0.0544864149627707,4.40248024912145,0.000755481345632045,5.70546933343581,"annual"
"Galium_verticillatum",0.0544864117309797,4.40248024912145,0.000755481345616643,5.70546933343581,"annual"
"Galium_intricatum",0.0544864113431336,4.40248024912145,0.000755481345614795,5.70546933343581,"annual"
"Galium_dahuricum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_sungpanense",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Galium_triflorum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Rubia_tenuifolia",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Rubia_tinctorum",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Rubia_peregrina",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Rubia_cordifolia",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Rubia_pseudogalium",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Rubia_yunnanensis",0.0416324789093015,4.40248024912145,0.000869757851354724,5.69494974813739,"perennial"
"Didymaea_alsinoides",0.0416339539781641,4.40248024912145,0.000869757851549991,5.69494974813739,"perennial"
