"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Draba_soratensis",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_rositae",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_densifolia",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_depressa",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_jorullensis",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_obovata",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_lapaziana",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_aretioides",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_hallii",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_hookeri",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_cuzcoensis",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_nivicola",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_macleanii",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_splendens",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_discoidea",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_sphaeroides",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_subalpina",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_streptobrachia",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_brachystylis",0.0969846226726076,10,5.48687265012498,8.7104771894521,"annual"
"Draba_novolympica",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_sphaerocarpa",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_spectabilis",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_ogilviensis",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_albertina",0.0969846226726076,10,5.48687265012498,8.7104771894521,"annual"
"Draba_stenopetala",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_corrugata",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_crassifolia",0.0969846226726076,10,5.48687265012498,8.7104771894521,"annual"
"Draba_pusilla",0.0969846226726076,10,5.48687265012498,8.7104771894521,"annual"
"Draba_aureola",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_helleriana",0.0969846226726076,10,5.48687265012498,8.7104771894521,"annual"
"Draba_stylosa",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_affghanica",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_stenoloba",0.0969846226726076,10,5.48687265012498,8.7104771894521,"annual"
"Draba_lemmonii",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_ventosa",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_streptocarpa",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_exunguiculata",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
"Draba_asprella",0.13109320547673,10,5.48687265012498,8.82531686991613,"perennial"
