"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Heliophila_crithmifolia",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_seselifolia",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_suborbicularis",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_suavissima",0.0832406294711293,0.136056487527747,0.0625269955962745,8.39872105080481,"perennial"
"Heliophila_variabilis",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_carnosa",0.0188446624719045,0.136056487527747,0.0625234529517261,8.39882577581929,"perennial"
"Heliophila_rigidiuscula",0.0188446624719045,0.136056487527747,0.0625234529517261,8.39882577581929,"perennial"
"Heliophila_trifurca",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_collina",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_pubescens",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_pectinata",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_deserticola",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_amplexicaulis",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_gariepina",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_dregeana",0.0201334392717489,0.136056487527747,0.0625235290357455,8.39882397832017,"perennial"
"Heliophila_maraisiana",0.0188507101890318,0.136056487527747,0.0625234562553897,8.39882577524194,"perennial"
"Heliophila_hurkana",0.0188446624719045,0.136056487527747,0.0625234529517261,8.39882577581929,"perennial"
"Heliophila_glauca",0.0188446624929128,0.136056487527747,0.0625234529517261,8.39882577581919,"perennial"
"Heliophila_nubigena",0.0188446625127323,0.136056487527747,0.0625234529517261,8.3988257758191,"perennial"
"Heliophila_elongata",0.0188446624719045,0.136056487527747,0.0625234529517261,8.39882577581929,"perennial"
"Heliophila_bulbostyla",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_linoides",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_digitata",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_arenosa",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_arenaria",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_elata",0.494335944730306,0.136056487527747,0.0625493752079846,8.39803873919659,"perennial"
"Heliophila_acuminata",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_macowaniana",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_coronopifolia",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_africana",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_cornuta",0.414835755486487,0.136056487527747,0.0625468293617736,8.39827340178755,"perennial"
"Heliophila_namaquana",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_lactea",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_refracta",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_pusilla",0.0663431325953172,0.136056487527747,0.0896950603032514,6.97503679345886,"annual"
"Heliophila_subulata",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
"Heliophila_pinnata",0.0663431259480926,0.136056487527747,0.0896950603033582,6.97503679345886,"annual"
