"species","life_form"
"Linaria angustissima (Loisel.) Borbás Borbás (Loisel.)","perennial"
"Linaria guilanensis Hamdi & Assadi","perennial"
"Linaria khalkhalensis Hamdi & Assadi","no_life_form_on_database"
"Linaria kurdica Boiss. & Hohen.","perennial"
"Linaria kurdica subsp. pycnophylla (Boiss. & Balansa) P.H.Davis P.H.Davis (Boiss. & Balansa)","perennial"
"Linaria elymaitica (Boiss.) Kuprian. Kuprian. (Boiss.)","perennial"
"Linaria fastigiata Chav.","perennial"
"Linaria altaica Fisch. ex Ledeb.","no_life_form_on_database"
"Linaria vulgaris Mill.","perennial"
"Linaria thibetica Franch.","perennial"
"Linaria damascena Boiss. & Gaill.","no_life_form_on_database"
"Linaria remotiflora Patzak","perennial"
"Linaria farsensis Hamdi & Assadi","perennial"
"Linaria michauxii Chav.","perennial"
"Linaria griffithsii Benth.","no_life_form_on_database"
"Linaria unaiensis Patzak","perennial"
"Linaria nurensis Boiss. & Hausskn.","perennial"
"Linaria pyramidalis subsp. kopetdaghensis (Kuprian.) D.A.Sutton D.A.Sutton (Kuprian.)","perennial"
"Linaria azerbaijanensis Hamdi & Assadi","perennial"
"Linaria lineolata Boiss. & Kotschy","perennial"
"Linaria cretacea Fisch. ex Spreng.","perennial"
"Linaria creticola Kuprian.","no_life_form_on_database"
"Linaria incompleta Kuprian.","perennial"
"Linaria meyeri Kuprian.","no_life_form_on_database"
"Linaria pyramidalis (Vent.) F.Dietr. F.Dietr. (Vent.)","perennial"
"Linaria schelkownikowii Schischk.","no_life_form_on_database"
"Linaria japonica Miq.","perennial"
"Linaria transiliensis Kuprian.","no_life_form_on_database"
"Linaria dalmatica (L.) Mill. Mill. (L.)","perennial"
"Linaria rubioides Vis. & Pancic","no_life_form_on_database"
"Linaria grandiflora Desf.","perennial"
"Linaria genistifolia Benth.","perennial"
"Linaria striatella Kuprian.","perennial"
"Linaria baligaliensis Patzak","no_life_form_on_database"
"Linaria sessilis Kuprian.","perennial"
"Linaria brachyceras (Bunge) Kuprian. Kuprian. (Bunge)","no_life_form_on_database"
"Linaria venosa Lindl.","perennial"
"Linaria macroura Link, 1822","perennial"
"Linaria popovii Kuprian.","perennial"
"Linaria bamianica Patzak","perennial"
"Linaria khorasanensis Hamdi & Assadi","perennial"
"Linaria shahroudensis Hamdi & Assadi","no_life_form_on_database"
"Linaria loeselii Schweigg.","perennial"
"Linaria odora (M.Bieb.) Fisch. Fisch. (M.Bieb.)","perennial"
"Linaria schirvanica Fomin","no_life_form_on_database"
"Linaria leptoceras Kuprian.","perennial"
"Linaria antilibanotica Rech.fil.","perennial"
"Linaria corifolia Desf.","perennial"
"Linaria iconia Boiss. & Heldr.","perennial"
"Linaria golestanensis Hamdi & Assadi","perennial"
"Limaria orientalis Kilburn, 1998","no_life_form_on_database"
"Linaria mazandaranensis Hamdi & Assadi","perennial"
"Linaria confertiflora Benth.","perennial"
"Linaria karajensis Hamdi & Assadi","no_life_form_on_database"
"Linaria microsepala A.Kern.","perennial"
"Linaria peloponnesiaca Boiss. & Heldr.","perennial"
"Linaria capraria Moris & De Not.","perennial"
"Linaria repens (L.) Mill. Mill. (L.)","perennial"
"Linaria albifrons (Sm.) Spreng. Spreng. (Sm.)","annual"
"Linaria boushehrensis Hamdi & Assadi","annual"
"Linaria flava (Poir.) Desf. Desf. (Poir.)","annual"
"Linaria triphylla (L.) Mill. Mill. (L.)","annual"
"Linaria parviracemosa D.A.Sutton","no_life_form_on_database"
"Linaria virgata (Poir.) Desf. Desf. (Poir.)","no_life_form_on_database"
"Linaria ventricosa Coss. & Balansa","no_life_form_on_database"
"Linaria cavanillesii Chav.","perennial"
"Linaria nivea Boiss. & Reut.","perennial"
"Linaria purpurea (L.) Mill. Mill. (L.)","perennial"
"Linaria decipiens Batt.","no_life_form_on_database"
"Linaria reflexa (L.) Desf. Desf. (L.)","annual"
"Linaria warionis Pomel","no_life_form_on_database"
"Linaria laxiflora Coss. ex Willk. & Lange","no_life_form_on_database"
"Linaria peltieri Batt.","no_life_form_on_database"
"Linaria haelava (Forssk.) Delile Delile (Forssk.)","annual"
"Linaria joppensis Bornm.","annual"
"Linaria latifolia Desf.","annual"
"Linaria accitensis L.Sáez, Juan, M.B.Crespo, F.B.Navarro, J.Peñas & Roquet","no_life_form_on_database"
"Linaria oblongifolia subsp. haenseleri (Boiss. & Reut.) Valdés Valdés (Boiss. & Reut.)","annual"
"Linaria benitoi Fern.Casas","no_life_form_on_database"
"Linaria oblongifolia (Boiss.) Boiss. & Reut. Boiss. & Reut. (Boiss.)","annual"
"Linaria saturejoides Boiss.","annual"
"Linaria amoi Campo ex Amo","perennial"
"Linaria verticillata Boiss.","perennial"
"Linaria glacialis Boiss.","annual"
"Linaria platycalyx Boiss.","annual"
"Linaria verticillata subsp. cuartanensis (Degen & Hervier) L.Sáez & M.B.Crespo L.Sáez & M.B.Crespo (Degen & Hervier)","no_life_form_on_database"
"Linaria anticaria Boiss. & Reut.","no_life_form_on_database"
"Linaria tristis (L.) Mill. Mill. (L.)","perennial"
"Linaria almijarensis Campo & Amo","no_life_form_on_database"
"Linaria lilacina Lange","no_life_form_on_database"
"Linaria tristis subsp. lurida","no_life_form_on_database"
"Linaria aeruginea Loscos & J.Pardo","annual"
"Linaria nevadensis (Boiss.) Boiss. & Reut. Boiss. & Reut. (Boiss.)","no_life_form_on_database"
"Linaria tristis subsp. mesatlantica D.A.Sutton","no_life_form_on_database"
"Linaria tristis subsp. pectinata (Pau & Font Quer) Maire Maire (Pau & Font Quer)","no_life_form_on_database"
"Linaria thymifolia (Vahl) DC. DC. (Vahl)","annual"
"Linaria caesia (Pers.) DC. DC. (Pers.)","annual"
"Linaria atrofusca Rouy","no_life_form_on_database"
"Linaria depauperata subsp. ilergabona (M.B.Crespo & Arán) L.Sáez L.Sáez (M.B.Crespo & Arán)","no_life_form_on_database"
"Linaria supina (L.) Chaz. Chaz. (L.)","annual"
"Linaria supina var. maritima (DC.) Duby Duby (DC.)","no_life_form_on_database"
"Linaria polygalifolia subsp. aguillonensis (García Mart.) Castrov. & Lago Castrov. & Lago (García Mart.)","no_life_form_on_database"
"Linaria depauperata Leresche ex Lange","annual"
"Linaria polygalifolia subsp. lamarckii (Rouy) D.A.Sutton D.A.Sutton (Rouy)","perennial"
