"species","life_form"
"Erucastrum strigosum (Thunb.) O.E.Schulz O.E.Schulz (Thunb.)","annual"
"Erucastrum austroafricanum Al-Shehbaz & S.I.Warwick","annual"
"Erucastrum meruense Jonsell","perennial"
"Erucastrum griquense (N.E.Br.) O.E.Schulz O.E.Schulz (N.E.Br.)","annual"
"Brassica balearica Pers.","perennial"
"Erucastrum abyssinicum E.R.Fr.","no_life_form_on_database"
"Erucastrum nasturtiifolium (Poir.) O.E.Schulz O.E.Schulz (Poir.)","annual"
"Diplotaxis erucoides Schimp. ex Fisch. & C.A.Mey.","annual"
"Erucastrum gallicum (Willd.) O.E.Schulz O.E.Schulz (Willd.)","annual"
"Erucastrum supinum (L.) Al-Shehbaz & S.I.Warwick Al-Shehbaz & S.I.Warwick (L.)","annual"
"Diplotaxis cossoniana (Reut. ex Boiss.) O.E.Schulz O.E.Schulz (Reut. ex Boiss.)","no_life_form_on_database"
"Brassica aucheri Boiss.","annual"
"Brassica deflexa Boiss.","annual"
"Morisia monanthos (Viv.) Asch. Asch. (Viv.)","perennial"
"Raffenaldia primuloides Godr.","perennial"
"Rapistrum rugosum (L.) All. All. (L.)","annual"
"Otocarpus virgatus Durieu","no_life_form_on_database"
"Cordylocarpus muricatus Desf.","no_life_form_on_database"
"Trachystoma ballii O.E.Schulz","no_life_form_on_database"
"Ceratocnemum rapistroides Coss. & Balansa","no_life_form_on_database"
"Trachystoma aphanoneurum (Maire & Weiller) Maire & Weiller Maire & Weiller (Maire & Weiller)","no_life_form_on_database"
"Diplotaxis siettiana Maire","annual"
"Diplotaxis brevisiliqua (Coss.) Mart.-Laborde Mart.-Laborde (Coss.)","no_life_form_on_database"
"Diplotaxis ilorcitana (Sennen) Aedo, Mart.-Laborde & Muñoz Garm. Aedo, Mart.-Laborde & Muñoz Garm. (Sennen)","annual"
"Diplotaxis ibicensis (Pau) Gomez-Campo Gomez-Campo (Pau)","no_life_form_on_database"
"Hirschfeldia incana Burnat","annual"
"Brassica maurorum Durieu","no_life_form_on_database"
"Erucastrum canariense Webb & Berthel.","no_life_form_on_database"
