"species","life_form"
"Erysimum caespitosum DC.","perennial"
"Erysimum gypsaceum Botsch. & Vved.","annual"
"Erysimum comatum Pancic","no_life_form_on_database"
"Erysimum smyrnaeum Boiss. & Balansa","annual"
"Erysimum sintenisianum Bornm.","perennial"
"Erysimum odoratum Ehrh.","annual"
"Erysimum sylvestre (Crantz) Scop. Scop. (Crantz)","perennial"
"Erysimum cuspidatum Velen.","annual"
"Erysimum aureum M.Bieb.","annual"
"Erysimum collinum (M.Bieb.) Andrz. Andrz. (M.Bieb.)","annual"
"Erysimum ibericum Boiss.","annual"
"Erysimum gabrielianiae Polatschek","no_life_form_on_database"
"Erysimum franciscanum Rossbach","annual"
"Erysimum capitatum (Douglas ex Hook.) Greene Greene (Douglas ex Hook.)","annual"
"Erysimum asperum (Nutt.) DC. DC. (Nutt.)","annual"
"Erysimum incanum Kunze","annual"
"Erysimum cheiranthoides L.","annual"
"Erysimum riphaeanum Lorite, Abdelaziz, Muñoz-Pajares, Perfectti & J.M.Gómez","no_life_form_on_database"
"Erysimum pusillum Bory & Chaub.","perennial"
"Erysimum bonannianum C.Presl.","perennial"
"Erysimum sisymbrioides C.A.Mey.","annual"
"Erysimum krendlii Polatschek","perennial"
"Erysimum crassistylum C.Presl.","annual"
"Erysimum crassipes Fisch. & C.A.Mey.","perennial"
"Erysimum lycaonicum (Hand.-Mazz.) Hub.-Mor. Hub.-Mor. (Hand.-Mazz.)","perennial"
"Erysimum pulchellum (Willd.) J.Gay J.Gay (Willd.)","perennial"
"Erysimum idae Polatschek","perennial"
"Erysimum linariifolium Tausch","perennial"
"Erysimum griffithianum Boiss.","annual"
"Erysimum pectinatum Bory & Chaub.","perennial"
"Erysimum elbrusense Boiss.","perennial"
"Erysimum nasturtioides Boiss. & Hausskn.","perennial"
"Erysimum szowitsianum Boiss.","perennial"
"Erysimum hajastanicum Wissjul. & Bordz.","perennial"
"Erysimum uncinatifolium Boiss. & A.Huet","perennial"
"Erysimum leptocarpum J.Gay","no_life_form_on_database"
"Erysimum leptophyllum (M.Bieb.) Andrz. Andrz. (M.Bieb.)","perennial"
"Erysimum gelidum Bunge","perennial"
"Erysimum wilczekianum Braun-Blanq. & Maire","annual"
"Erysimum majellense Polatschek","perennial"
"Erysimum echinellum Hand.-Mazz.","perennial"
"Erysimum serpentinicum Polatschek","perennial"
"Erysimum acrotonum Polatschek & Rech.f.","annual"
"Erysimum leucanthemum (Stephan) B.Fedtsch. B.Fedtsch. (Stephan)","annual"
"Erysimum ghaznicum Cullen & Rech.f.","annual"
"Erysimum alaicum Novopokr. ex Nikitina","perennial"
"Erysimum badghysi (Korsh.) Lipsky Lipsky (Korsh.)","no_life_form_on_database"
"Erysimum salangense Polatschek & Rech.f.","perennial"
"Erysimum vitellinum Popov","annual"
"Erysimum cyaneum Popov","annual"
"Erysimum griffithii Hook.f. & T.Anderson","perennial"
"Erysimum czernjajevii N.Busch","annual"
"Erysimum robustum D.Don","annual"
"Erysimum laxiflorum J.Gay","no_life_form_on_database"
"Erysimum hezarense Moazzeni","no_life_form_on_database"
"Erysimum subulatum J.Gay","annual"
"Erysimum lilacinum Steinb.","annual"
"Erysimum spetae Polatschek","no_life_form_on_database"
"Erysimum kurdicum Boiss. & Hausskn.","annual"
"Erysimum purpureum J.Gay","perennial"
"Erysimum scabrum DC.","annual"
"Erysimum diffusum Ehrh.","annual"
"Erysimum oleifolium J.Gay","perennial"
"Erysimum hirschfeldioides Boiss. & Hausskn.","perennial"
"Erysimum kerbabaevii Kurbanov & Gudkova","annual"
"Erysimum crassicaule (Boiss.) Boiss. Boiss. (Boiss.)","annual"
"Erysimum pseudopurpureum Polatschek","perennial"
"Erysimum hieraciifolium L.","no_life_form_on_database"
"Erysimum mongolicum D.German","no_life_form_on_database"
"Erysimum siliculosum (M.Bieb.) DC. DC. (M.Bieb.)","annual"
"Erysimum boreale C.A.Mey. ex Rupr.","annual"
"Erysimum metlesicsii Polatschek","annual"
"Erysimum repandum L.","annual"
"Erysimum carniolicum Dolliner","annual"
"Erysimum quadrangulum Desf.","annual"
"Erysimum witmannii Zaw.","annual"
"Erysimum canum (Piller & Mitterp.) Polatschek Polatschek (Piller & Mitterp.)","annual"
"Erysimum ledebourii D.A.German","perennial"
"Erysimum inense N.Busch","perennial"
"Erysimum kamelinii D.A.German","no_life_form_on_database"
"Erysimum macrostigma Boiss.","perennial"
"Erysimum leptostylum DC.","annual"
"Erysimum ischnostylum Freyn & Sint. ex Freyn","perennial"
"Erysimum humillimum (Ledeb.) N.Busch N.Busch (Ledeb.)","no_life_form_on_database"
"Erysimum callicarpum Lipsky","annual"
"Erysimum pallasii (Pursh) Fernald Fernald (Pursh)","no_life_form_on_database"
"Erysimum amurense Kitag.","no_life_form_on_database"
"Erysimum roseum (Maxim.) Polatschek Polatschek (Maxim.)","perennial"
"Erysimum Tourn. ex L._indet_sp1","no_life_form_on_database"
"Erysimum pachycarpum Hook.f. & Thomson","annual"
"Erysimum deflexum Hook.f. & Thomson","annual"
"Erysimum cheiri (L.) Crantz Crantz (L.)","perennial"
"Erysimum perofskianum Fisch. & C.A.Mey.","annual"
"Erysimum naxense Snogerup","perennial"
"Erysimum senoneri (Heldr. & Sartori) Wettst. Wettst. (Heldr. & Sartori)","perennial"
"Erysimum rhodium Snogerup","perennial"
"Erysimum scoparium (Brouss. ex Willd.) Wettst. Wettst. (Brouss. ex Willd.)","perennial"
"Erysimum caboverdeanum (Chev.) Sunding Sunding (Chev.)","perennial"
"Erysimum bicolor (Hornem.) DC. DC. (Hornem.)","perennial"
"Erysimum arbuscula (Lowe) Snogerup Snogerup (Lowe)","perennial"
"Erysimum grandiflorum Desf.","perennial"
"Erysimum ehrendorferi Polatschek","perennial"
"Erysimum myriophyllum Lange","annual"
"Erysimum mediohispanicum Polatschek","no_life_form_on_database"
"Erysimum duriaei Boiss.","perennial"
"Erysimum semperflorens (Schousb.) Wettst. Wettst. (Schousb.)","perennial"
"Erysimum ochroleucum Hegetschw.","perennial"
"Erysimum belvederense Polatschek","annual"
