"species","life_form"
"Davilanthus hidalgoanus (E.E.Schill. & Panero) E.E.Schill. & Panero E.E.Schill. & Panero (E.E.Schill. & Panero)","no_life_form_on_database"
"Davilanthus purpusii (Brandegee) E.E.Schill. & Panero E.E.Schill. & Panero (Brandegee)","no_life_form_on_database"
"Davilanthus hypargyreus (B.L.Rob. & Greenm.) E.E.Schill. & Panero E.E.Schill. & Panero (B.L.Rob. & Greenm.)","no_life_form_on_database"
"Davilanthus davilae (Panero & Villaseñor) E.E.Schill. & Panero E.E.Schill. & Panero (Panero & Villaseñor)","no_life_form_on_database"
"Simsia chaseae (Millsp.) S.F.Blake S.F.Blake (Millsp.)","no_life_form_on_database"
"Simsia steyermarkii H.Rob. & Brettell","no_life_form_on_database"
"Simsia foetida (Cav.) S.F.Blake S.F.Blake (Cav.)","no_life_form_on_database"
"Simsia calva (Engelm. & Gray) A.Gray A.Gray (Engelm. & Gray)","no_life_form_on_database"
"Tithonia diversifolia (Hemsl.) A.Gray A.Gray (Hemsl.)","no_life_form_on_database"
"Tithonia rotundifolia (Mill.) S.F.Blake S.F.Blake (Mill.)","no_life_form_on_database"
"Tithonia koelzii McVaugh","no_life_form_on_database"
"Tithonia tubaeformis (Jacq.) Cass. Cass. (Jacq.)","no_life_form_on_database"
"Viguiera buddleiiformis (DC.) Benth. & Hook.fil. Benth. & Hook.fil. (DC.)","no_life_form_on_database"
"Viguiera excelsa (Willd.) Benth. & Hook.f. ex Hemsl., 1881 Benth. & Hook.f. ex Hemsl., 1881 (Willd.)","no_life_form_on_database"
"Viguiera hypochlora (S.F.Blake) S.F.Blake S.F.Blake (S.F.Blake)","no_life_form_on_database"
"Viguiera schultzii S.F.Blake","no_life_form_on_database"
"Helianthus atrorubens L.","no_life_form_on_database"
"Helianthus occidentalis Riddell","no_life_form_on_database"
"Helianthus silphioides Nutt.","no_life_form_on_database"
"Helianthus annuus L.","annual"
"Helianthus gracilentus A.Gray","no_life_form_on_database"
"Iostephane papposa Fay","no_life_form_on_database"
"Iostephane madrensis (S.Watson) Strother Strother (S.Watson)","no_life_form_on_database"
"Iostephane trilobata Hemsl.","no_life_form_on_database"
"Iostephane heterophylla (Cav.) Benth. Benth. (Cav.)","no_life_form_on_database"
"Encelia conspersa Benth.","no_life_form_on_database"
"Encelia laciniata Vasey & Rose","no_life_form_on_database"
"Encelia farinosa A.Gray ex Torr.","no_life_form_on_database"
"Encelia ravenii Wiggins","no_life_form_on_database"
"Wyethia arizonica A.Gray","no_life_form_on_database"
"Wyethia invenusta (Greene) W.A.Weber W.A.Weber (Greene)","no_life_form_on_database"
"Wyethia elata H.M.Hall","no_life_form_on_database"
"Wyethia scabra Hook.","no_life_form_on_database"
"Dimerostemma asperatum S.F.Blake","no_life_form_on_database"
"Dimerostemma brasilianum Cass.","no_life_form_on_database"
"Dimerostemma humboldtianum (Gardner) H.Rob. H.Rob. (Gardner)","no_life_form_on_database"
"Dimerostemma grazielae H.Rob.","no_life_form_on_database"
"Wedelia Jacq._indet_sp1","no_life_form_on_database"
"Wedelia chinensis (Osbeck) Merr. Merr. (Osbeck)","no_life_form_on_database"
"Wedelia purpurea (Greenm.) B.L.Turner B.L.Turner (Greenm.)","no_life_form_on_database"
"Bidens conjuncta Sherff","no_life_form_on_database"
"Bidens hillebrandiana (Drake) O.Deg. O.Deg. (Drake)","no_life_form_on_database"
