species,life_form,,
Oenothera elongata Rusby,annual,,
Oenothera mendocinensis Gillies ex Hook. & Arn.,annual,,
Oenothera tarijensis W.Dietr.,annual,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Oenothera longituba W.Dietr.,annual,,
Oenothera ravenii W.Dietr.,annual,,
Oenothera bahia-blancae W.Dietr.,annual,,
Oenothera stricta Link,annual,,
Oenothera parodiana Munz,annual,,
Oenothera magellanica Phil.,annual,,
Oenothera picensis Phil.,annual,,
Oenothera villaricae W.Dietr.,annual,,
Oenothera sandiana Hassk.,annual,,
Oenothera versicolor Lehm.,annual,,
Oenothera affinis Cambess.,annual,,
Oenothera nana Griseb.,annual,,
Oenothera humifusa Nutt.,annual,,
Oenothera laciniata Hill,annual,,
Oenothera grandis Smyth,annual,,
Oenothera drummondii Hook.,perennial,,
Oenothera longiflora Scheele,annual,,
Oenothera heterophylla Spach,annual,,
Oenothera elata Kunth,annual,,
Oenothera longissima Rydb.,annual,,
Oenothera oakesiana (A.Gray) Robbins Robbins (A.Gray),annual,,
Oenothera villosa Thunb.,annual,,
Oenothera grandiflora L'Hér. ex Aiton,annual,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Oenothera nutans Atk. & Bartlett,annual,,
Oenothera biennis L.,annual,,
Oenothera glazioviana Micheli,annual,,
Oenothera argillicola Mack.,annual,,
"Oenothera clelandii W.Dietr., P.H.Raven & W.L.Wagner",annual,,
Oenothera rhombipetala Nutt.,annual,,
Oenothera maysillesii Munz,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Oenothera pubescens Willd. ex Spreng.,annual,,
"Oenothera stubbei W.Dietr., P.H.Raven & W.L.Wagner",perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Oenothera indecora Cambess.,annual,,
Oenothera organensis Munz,perennial,,
Oenothera macrosceles A.Gray,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Oenothera odorata Jacq.,annual,,
Oenothera arizonica (Munz) W.L.Wagner W.L.Wagner (Munz),annual,,
Oenothera deltoides Torr. & Frém.,perennial,,
Oenothera wigginsii W.M.Klein,annual,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Oenothera engelmannii (Wooton & Standl.) Munz Munz (Wooton & Standl.),annual,,
Oenothera albicaulis Pursh,perennial,,
Oenothera latifolia (Rydb.) Munz Munz (Rydb.),perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Oenothera pallida Lindl.,perennial,,
Oenothera neomexicana (Small) Munz Munz (Small),annual,,
Oenothera californica D.Dietr.,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Oenothera coronopifolia Torr. & A.Gray,perennial,,
Oenothera nuttallii Sweet,perennial,,
Oenothera tubifera Moc. & Sessé ex Ser.,no_life_form_on_database,,
Oenothera primiveris A.Gray,annual,,
Oenothera xylocarpa Coville,perennial,,
Oenothera coloradensis (Rydb.) W.L.Wagner & Hoch W.L.Wagner & Hoch (Rydb.),annual,,
Oenothera xenogaura W.L.Wagner & Hoch,no_life_form_on_database,,
