x,species,life_form,,
267,Agathisanthemum bojeri Klotzsch,perennial,,
270,Agathisanthemum chlorophyllum (Hochst.) Bremek. Bremek. (Hochst.),perennial,,
271,Agathisanthemum globosum (Hochst. ex A.Rich.) Klotzsch Klotzsch (Hochst. ex A.Rich.),perennial,,
272,Agathisanthemum quadricostatum Bremek.,no_life_form_on_database,,
285,Amphiasma luzuloides (K.Schum.) Bremek. Bremek. (K.Schum.),perennial,,
286,Amphiasma merenskyanum Bremek.,perennial,,
57,Amphistemon humbertii Groeninckx,perennial,,
58,Amphistemon rakotonasolianus Groeninckx,perennial,,
37,Arcytophyllum aristatum Standl.,perennial,,
42,Arcytophyllum capitatum Standl.,no_life_form_on_database,,
39,Arcytophyllum ciliolatum Standl.,perennial,,
41,Arcytophyllum ericoides (Willd.) Standl. Standl. (Willd.),perennial,,
43,Arcytophyllum filiforme (Ruiz & Pav.) Standl. Standl. (Ruiz & Pav.),perennial,,
36,Arcytophyllum lavarum K.Schum.,perennial,,
32,Arcytophyllum macbridei Standl.,perennial,,
38,Arcytophyllum muticum (Wedd.) Standl. Standl. (Wedd.),perennial,,
34,Arcytophyllum nitidum (Kunth) Schltdl. Schltdl. (Kunth),perennial,,
40,Arcytophyllum rivetii Danguy & Cherm.,perennial,,
35,Arcytophyllum setosum (Ruiz & Pav.) Schltdl. Schltdl. (Ruiz & Pav.),perennial,,
44,Arcytophyllum thymifolium (Ruiz & Pav.) Standl. Standl. (Ruiz & Pav.),perennial,,
33,Arcytophyllum vernicosum Standl.,perennial,,
50,Astiella delicatula Jovet,no_life_form_on_database,,
56,Astiella desseinii Groeninckx,no_life_form_on_database,,
54,Astiella latifolia Groeninckx,annual,https://doi.org/10.5852/ejt.2017.312,manually_included
55,Astiella perrieri Groeninckx,annual,https://doi.org/10.5852/ejt.2017.312,manually_included
51,Astiella tsaratanensis Groeninckx,no_life_form_on_database,,
301,Batopedina pulvinellata Robbr.,perennial,,
95,Bouvardia glaberrima Engelm.,no_life_form_on_database,,
303,Carphalea madagascariensis Lam.,perennial,,
289,Conostomium natalense (Hochst.) Bremek. Bremek. (Hochst.),perennial,,
287,Conostomium quadrangulare (Rendle) Cufod. Cufod. (Rendle),annual,,
288,Conostomium zoutpansbergense (Bremek.) Bremek. Bremek. (Bremek.),perennial,,
109,Cordylostigma microcala (Bremek.) Groeninckx & Dessein Groeninckx & Dessein (Bremek.),annual,,
107,Cordylostigma virgatum (Willd.) Groeninckx & Dessein Groeninckx & Dessein (Willd.),annual,,
89,Crusea calocephala DC.,perennial,,
90,Crusea megalocarpa (A.Gray) S.Watson S.Watson (A.Gray),annual,,
278,Dentella repens (L.) J.R.Forst. & G.Forst. J.R.Forst. & G.Forst. (L.),perennial,,
71,Diodella teres (Walter) Small Small (Walter),no_life_form_on_database,,
66,Diodia aulacosperma K.Schum.,annual,,
86,Diodia spicata Miq.,no_life_form_on_database,,
85,Emmeorhiza umbellata (Spreng.) K.Schum. K.Schum. (Spreng.),perennial,,
73,Ernodea littoralis Sw.,perennial,,
165,Exallage auricularia (L.) Bremek. Bremek. (L.),perennial,,
167,Exallage chrysotricha (Palib.) Neupane & N.Wikstr. Neupane & N.Wikstr. (Palib.),annual,,
161,Exallage pachycarpa (Ridl.) Bremek. Bremek. (Ridl.),annual,,
87,Galianthe brasiliensis (Spreng.) E.L.Cabral & Bacigalupo E.L.Cabral & Bacigalupo (Spreng.),perennial,,
88,Galianthe eupatorioides (Cham. & Schltdl.) E.L.Cabral E.L.Cabral (Cham. & Schltdl.),perennial,,
239,Hedyotis acutangula Champ. ex Benth.,perennial,,
255,Hedyotis albonerva Bedd.,perennial,,
153,Hedyotis angustifolia Cham. & Schltdl.,annual,"Ranjan, V., & Kumar, A. (2014). Addition to the Flora of West Bengal. Indian J. Forest, 37.",manually_included
259,Hedyotis articularis R.Br. ex G.Don,perennial,,
249,Hedyotis cantoniensis F.C.How ex W.C.Ko,perennial,,
178,Hedyotis capitellata Wall. ex G.Don,no_life_form_on_database,,
228,Hedyotis cathayana W.C.Ko,perennial,,
251,Hedyotis caudatifolia Merr. & F.P.Metcalf,perennial,,
223,Hedyotis cheniana R.J.Wang,perennial,,
230,Hedyotis communis W.C.Ko,perennial,,
211,Hedyotis coprosmoides Trimen,perennial,,
81,Hedyotis coronaria (Kurz) Craib Craib (Kurz),no_life_form_on_database,,
266,Hedyotis corymbiformis E.T.Geddes,no_life_form_on_database,,
163,Hedyotis costata R.Br. ex G.Don,no_life_form_on_database,,
105,Hedyotis cyanantha Kurz,annual,,
200,Hedyotis dendroides Alston,perennial,,
177,Hedyotis dianxiensis W.C.Ko,no_life_form_on_database,,
247,Hedyotis effusa Hance,perennial,,
220,Hedyotis fissistipula Merr.,no_life_form_on_database,,
198,Hedyotis flavescens Thwaites,perennial,,
206,Hedyotis fruticosa L.,perennial,,
231,Hedyotis fruticulosa (Volkens) Merr. Merr. (Volkens),perennial,,
162,Hedyotis fulva Hook.f.,no_life_form_on_database,,
199,Hedyotis gardneri Thwaites,perennial,,
171,Hedyotis hedyotidea (DC.) Merr. Merr. (DC.),no_life_form_on_database,,
145,Hedyotis koana R.J.Wang,no_life_form_on_database,,
233,Hedyotis korrorensis (Valeton) Hosok. Hosok. (Valeton),perennial,,
280,Hedyotis kurzii Merr.,annual,,
179,Hedyotis L._indet_sp10,no_life_form_on_database,,
229,Hedyotis L._indet_sp11,no_life_form_on_database,,
235,Hedyotis L._indet_sp12,no_life_form_on_database,,
236,Hedyotis L._indet_sp13,no_life_form_on_database,,
265,Hedyotis L._indet_sp14,no_life_form_on_database,,
133,Hedyotis L._indet_sp2,no_life_form_on_database,,
156,Hedyotis L._indet_sp3,no_life_form_on_database,,
168,Hedyotis L._indet_sp4,no_life_form_on_database,,
169,Hedyotis L._indet_sp5,no_life_form_on_database,,
172,Hedyotis L._indet_sp6,no_life_form_on_database,,
173,Hedyotis L._indet_sp7,no_life_form_on_database,,
174,Hedyotis L._indet_sp8,no_life_form_on_database,,
175,Hedyotis L._indet_sp9,no_life_form_on_database,,
205,Hedyotis lawsoniae Wight & Arn.,perennial,,
201,Hedyotis lessertiana var. lessertiana,no_life_form_on_database,,
195,Hedyotis lessertiana var. marginata Thwaites ex Trimen,no_life_form_on_database,,
181,Hedyotis lindleyana Hook. ex Wight & Arn.,no_life_form_on_database,,
222,Hedyotis macrosepala (Pit.) P.H.Hô P.H.Hô (Pit.),no_life_form_on_database,,
213,Hedyotis macrostegia Stapf,no_life_form_on_database,,
196,Hedyotis marginata Thwaites ex Hook.f.,perennial,,
232,Hedyotis megalantha Merr.,perennial,,
226,Hedyotis minutopuberula Merr. & F.P.Metcalf,perennial,,
193,Hedyotis nana Merr. & L.M.Perry,no_life_form_on_database,,
210,Hedyotis nodulosa Arn.,perennial,,
234,Hedyotis novoguineensis Merr. & L.M.Perry,perennial,,
203,Hedyotis obscura Thwaites,perennial,,
139,Hedyotis oligocephala (Pierre ex Pit.) Fukuoka Fukuoka (Pierre ex Pit.),no_life_form_on_database,,
136,Hedyotis ovatifolia Cav.,no_life_form_on_database,,
186,Hedyotis pahompokae Fukuoka,no_life_form_on_database,,
262,Hedyotis parryi Hance,perennial,,
218,Hedyotis philippensis (Willd. ex Spreng.) Merr. Merr. (Willd. ex Spreng.),perennial,,
149,Hedyotis pinifolia Wall. ex G.Don,no_life_form_on_database,,
260,Hedyotis pruinosa Wight & Arn.,perennial,,
214,Hedyotis pulchella Stapf,perennial,,
254,Hedyotis purpurascens Hook.f.,perennial,,
197,"Hedyotis quinquenervia Thwaites, 1859",no_life_form_on_database,,
