"species","life_form"
"Smelowskia calycina","perennial"
"Thlaspi arvense","annual"
"Aimara rollinsii","perennial"
"Cremolobus chilensis","annual"
"Cremolobus rhomboideus","annual"
"Cremolobus peruvianus","perennial"
"Menonvillea chilensis","annual"
"Menonvillea orbiculata","annual"
"Menonvillea filifolia","annual"
"Menonvillea pinnatifida","annual"
"Menonvillea litoralis","annual"
"Menonvillea flexuosa","perennial"
"Menonvillea linearis","perennial"
"Menonvillea marticorenae","annual"
"Menonvillea purpurea","perennial"
"Menonvillea minima","annual"
"Menonvillea cicatricosa","perennial"
"Menonvillea nordenskjoeldii","perennial"
"Menonvillea rigida","perennial"
"Menonvillea spathulata","perennial"
"Menonvillea comberi","annual"
"Menonvillea patagonica","annual"
"Menonvillea cuneata","perennial"
"Menonvillea virens","perennial"
"Menonvillea frigida","perennial"
"Menonvillea famatinensis","perennial"
"Menonvillea hookeri","no_life_form_on_database"
"Menonvillea scapigera","perennial"
"Aschersoniodoxa cachensis","perennial"
"Aschersoniodoxa mandoniana","perennial"
"Brayopsis colombiana","perennial"
"Eudema nubigena subsp. nubigena","no_life_form_on_database"
"Eudema nubigena subsp. remyana","perennial"
"Brayopsis gamosepala","perennial"
"Brayopsis alpaminae","perennial"
"Brayopsis monimocalyx","perennial"
"Brayopsis calycina","perennial"
"Eudema rupestris","perennial"
"Brayopsis diapensioides","perennial"
"Dactylocardamum imbricatifolium","perennial"
"Aschersoniodoxa peruviana","no_life_form_on_database"
"Onuris alismatifolia","perennial"
"Onuris hatcheriana","perennial"
"Onuris papillosa","perennial"
"Onuris spegazziniana","perennial"
"Onuris graminifolia","perennial"
"Xerodraba patagonica","perennial"
"Xerodraba pycnophylloides","no_life_form_on_database"
"Xerodraba pectinata","no_life_form_on_database"
"Onuris hauthalii","no_life_form_on_database"
"Atacama nivea","no_life_form_on_database"
"Mathewsia auriculata","perennial"
"Mathewsia linearifolia","perennial"
"Mathewsia collina","no_life_form_on_database"
"Mathewsia densifolia","no_life_form_on_database"
"Mathewsia peruviana","no_life_form_on_database"
"Mathewsia incana","perennial"
"Mathewsia foliosa","perennial"
"Schizopetalon arcuatum","annual"
"Schizopetalon bipinnatifidum","annual"
"Schizopetalon biseriatum","annual"
"Schizopetalon tenuifolium","annual"
"Schizopetalon rupestre","annual"
"Schizopetalon brachycarpum","annual"
"Schizopetalon dentatum","annual"
"Schizopetalon maritimum","annual"
"Schizopetalon walkeri","annual"
