"species","life_form"
"Chamaecrista decumbens","perennial"
"Chamaecrista brachyrachis","perennial"
"Chamaecrista tenuicaulis","no_life_form_on_database"
"Chamaecrista filicifolia","perennial"
"Chamaecrista irwiniana","no_life_form_on_database"
"Chamaecrista floribunda","no_life_form_on_database"
"Chamaecrista feliciana","perennial"
"Chamaecrista benthamiana","perennial"
"Chamaecrista azulana","perennial"
"Chamaecrista mollicaulis","perennial"
"Chamaecrista densifolia","perennial"
"Chamaecrista strictula","perennial"
"Chamaecrista planaltoana","perennial"
"Chamaecrista dawsonii","perennial"
"Chamaecrista obolaria","no_life_form_on_database"
"Chamaecrista polita","perennial"
"Chamaecrista elata","no_life_form_on_database"
"Chamaecrista nummulariifolia","perennial"
"Chamaecrista nanodes","perennial"
"Chamaecrista macedoi","perennial"
"Chamaecrista gymnothyrsa","perennial"
"Chamaecrista sparsifolia","no_life_form_on_database"
"Chamaecrista multipennis","perennial"
"Chamaecrista cipoana","no_life_form_on_database"
"Chamaecrista sincorana","perennial"
"Chamaecrista glaucofilix","perennial"
"Chamaecrista hispidula","perennial"
"Chamaecrista rupestrium","perennial"
"Chamaecrista botryoides","perennial"
"Chamaecrista neesiana","perennial"
"Chamaecrista belladonna","no_life_form_on_database"
"Chamaecrista isidorea","perennial"
"Chamaecrista setosa var. detonsa","no_life_form_on_database"
"Chamaecrista scabra","perennial"
"Chamaecrista multiseta","perennial"
"Chamaecrista campicola","perennial"
"Chamaecrista altoana","perennial"
"Chamaecrista coradinii","perennial"
"Chamaecrista setosa","perennial"
"Chamaecrista pachyclada","perennial"
"Chamaecrista claussenii var. claussenii","no_life_form_on_database"
"Chamaecrista cathartica","perennial"
"Chamaecrista ciliolata var. pulchella","perennial"
"Chamaecrista ciliolata var. ciliolata","no_life_form_on_database"
"Chamaecrista speciosa","perennial"
"Chamaecrista philippii","perennial"
"Chamaecrista urophyllidia","perennial"
"Chamaecrista dalbergiifolia","perennial"
"Chamaecrista brachyblepharis","perennial"
"Chamaecrista absus","annual"
"Chamaecrista jacobinea","perennial"
"Chamaecrista anamariae","perennial"
"Chamaecrista belemii","perennial"
"Chamaecrista brevicalyx","perennial"
"Chamaecrista viscosa var. paraguayensis","perennial"
"Chamaecrista campestris","perennial"
"Chamaecrista fagonioides","perennial"
"Chamaecrista cardiostegia","perennial"
"Chamaecrista rotundata var. interstes","perennial"
"Chamaecrista tragacanthoides var. rasa","perennial"
"Chamaecrista rotundata var. grandistipula","no_life_form_on_database"
"Chamaecrista anceps","perennial"
"Chamaecrista cinerascens","perennial"
"Chamaecrista tragacanthoides var. tragacanthoides","no_life_form_on_database"
"Chamaecrista distichoclada","perennial"
"Chamaecrista burchellii","perennial"
"Chamaecrista mucronata","perennial"
"Chamaecrista potentilla","perennial"
"Chamaecrista papillata","no_life_form_on_database"
"Chamaecrista ulmea","perennial"
"Chamaecrista olesiphylla","perennial"
"Chamaecrista rotundata var. rotundata","no_life_form_on_database"
"Chamaecrista latifolia","perennial"
"Chamaecrista rossicorum","no_life_form_on_database"
"Chamaecrista choriophylla","perennial"
"Chamaecrista lagotois","perennial"
"Chamaecrista simplifacta","perennial"
"Chamaecrista aristata","perennial"
"Chamaecrista flexuosa","perennial"
"Chamaecrista swainsonii","perennial"
"Chamaecrista desvauxii var. mollissima","perennial"
"Chamaecrista diphylla","annual"
"Chamaecrista simplex","perennial"
"Chamaecrista venulosa","perennial"
"Chamaecrista roraimae","perennial"
"Chamaecrista calycioides","perennial"
"Chamaecrista caribaea","perennial"
"Chamaecrista lineata","perennial"
"Chamaecrista nictitans var. ramosa","no_life_form_on_database"
"Chamaecrista nictitans subsp. brachypoda","annual"
"Chamaecrista nictitans subsp. disadena","annual"
"Chamaecrista pascuorum","perennial"
"Chamaecrista repens","perennial"
"Chamaecrista rotundifolia var. grandiflora","perennial"
"Chamaecrista pilosa","perennial"
"Chamaecrista decora","perennial"
"Chamaecrista brachystachya","perennial"
"Chamaecrista blanchetii","perennial"
"Chamaecrista cytisoides","perennial"
"Chamaecrista depauperata","perennial"
"Chamaecrista coriacea","perennial"
"Chamaecrista confertiformis","perennial"
"Chamaecrista unijuga","perennial"
"Chamaecrista onusta","perennial"
"Chamaecrista amorimii","perennial"
