"species","life_form"
"Erysimum caespitosum","perennial"
"Erysimum gypsaceum","annual"
"Erysimum comatum","no_life_form_on_database"
"Erysimum smyrnaeum","annual"
"Erysimum sintenisianum","perennial"
"Erysimum odoratum","annual"
"Erysimum sylvestre","perennial"
"Erysimum cuspidatum","annual"
"Erysimum aureum","annual"
"Erysimum collinum","annual"
"Erysimum ibericum","annual"
"Erysimum gabrielianiae","no_life_form_on_database"
"Erysimum franciscanum","annual"
"Erysimum capitatum","annual"
"Erysimum asperum","annual"
"Erysimum incanum","annual"
"Erysimum cheiranthoides","annual"
"Erysimum riphaeanum","no_life_form_on_database"
"Erysimum pusillum","perennial"
"Erysimum bonannianum","perennial"
"Erysimum sisymbrioides","annual"
"Erysimum krendlii","perennial"
"Erysimum crassistylum","annual"
"Erysimum crassipes","perennial"
"Erysimum lycaonicum","perennial"
"Erysimum pulchellum","perennial"
"Erysimum idae","perennial"
"Erysimum linariifolium","perennial"
"Erysimum griffithianum","annual"
"Erysimum pectinatum","perennial"
"Erysimum elbrusense","perennial"
"Erysimum nasturtioides","perennial"
"Erysimum szowitsianum","perennial"
"Erysimum hajastanicum","perennial"
"Erysimum uncinatifolium","perennial"
"Erysimum leptocarpum","no_life_form_on_database"
"Erysimum leptophyllum","perennial"
"Erysimum gelidum","perennial"
"Erysimum wilczekianum","annual"
"Erysimum majellense","perennial"
"Erysimum echinellum","perennial"
"Erysimum serpentinicum","perennial"
"Erysimum acrotonum","annual"
"Erysimum leucanthemum","annual"
"Erysimum ghaznicum","annual"
"Erysimum alaicum","perennial"
"Erysimum badghysi","no_life_form_on_database"
"Erysimum salangense","perennial"
"Erysimum vitellinum","annual"
"Erysimum cyaneum","annual"
"Erysimum griffithii","perennial"
"Erysimum czernjajevii","annual"
"Erysimum robustum","annual"
"Erysimum laxiflorum","no_life_form_on_database"
"Erysimum hezarense","no_life_form_on_database"
"Erysimum subulatum","annual"
"Erysimum lilacinum","annual"
"Erysimum spetae","no_life_form_on_database"
"Erysimum kurdicum","annual"
"Erysimum purpureum","perennial"
"Erysimum scabrum","annual"
"Erysimum diffusum","annual"
"Erysimum oleifolium","perennial"
"Erysimum hirschfeldioides","perennial"
"Erysimum kerbabaevii","annual"
"Erysimum crassicaule","annual"
"Erysimum pseudopurpureum","perennial"
"Erysimum hieraciifolium","no_life_form_on_database"
"Erysimum mongolicum","no_life_form_on_database"
"Erysimum siliculosum","annual"
"Erysimum boreale","annual"
"Erysimum metlesicsii","annual"
"Erysimum repandum","annual"
"Erysimum carniolicum","annual"
"Erysimum quadrangulum","annual"
"Erysimum witmannii","annual"
"Erysimum canum","annual"
"Erysimum ledebourii","perennial"
"Erysimum inense","perennial"
"Erysimum kamelinii","no_life_form_on_database"
"Erysimum macrostigma","perennial"
"Erysimum leptostylum","annual"
"Erysimum ischnostylum","perennial"
"Erysimum humillimum","no_life_form_on_database"
"Erysimum callicarpum","annual"
"Erysimum pallasii","no_life_form_on_database"
"Erysimum amurense","no_life_form_on_database"
"Erysimum roseum","perennial"
"Erysimum pachycarpum","annual"
"Erysimum deflexum","annual"
"Erysimum cheiri","perennial"
"Erysimum perofskianum","annual"
"Erysimum naxense","perennial"
"Erysimum senoneri","perennial"
"Erysimum rhodium","perennial"
"Erysimum scoparium","perennial"
"Erysimum caboverdeanum","perennial"
"Erysimum bicolor","perennial"
"Erysimum arbuscula","perennial"
"Erysimum grandiflorum","perennial"
"Erysimum ehrendorferi","perennial"
"Erysimum myriophyllum","annual"
"Erysimum mediohispanicum","no_life_form_on_database"
"Erysimum duriaei","perennial"
"Erysimum semperflorens","perennial"
"Erysimum ochroleucum","perennial"
"Erysimum belvederense","annual"
