"species","life_form","source","notes_1","notes_2"
"Rhammatophyllum ghoranum","perennial","","",""
"Rhammatophyllum gaudanense","perennial","","",""
"Rhammatophyllum erysimoides","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated",""
"Sisymbriopsis mollipila","annual","","",""
"Rhammatophyllum afghanicum","perennial","","",""
"Rhammatophyllum pachyrhizum","perennial","https://en.wikipedia.org/wiki/Rhammatophyllum_pachyrhizum","manually_curated","""subshurb"""
"Solms-laubachia incana","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia himalayensis","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia stewartii","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia linearis","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia flabellata","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia jafrii","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia baiogoinensis","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia lanata","perennial","","",""
"Solms-laubachia platycarpa","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia prolifera","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia minor","perennial","","",""
"Solms-laubachia xerophyta","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia zhongdianensis","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia pulcherrima","perennial","","",""
"Solms-laubachia eurycarpa","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia linearifolia","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia retropilosa","perennial","","",""
"Solms-laubachia villosa","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Solms-laubachia kashgarica","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Pycnoplinthus uniflora","perennial","","",""
"Sisymbriopsis yechengnica","perennial","https://en.wikipedia.org/wiki/Solms-laubachia","manually_curated","""perennial herbs"""
"Christolea crassifolia","perennial","","",""
"Octoceras lehmannianum","annual","","",""
"Tetracme secunda","annual","","",""
"Neotorularia tetracmoides","annual","","",""
"Tetracme contorta","annual","","",""
"Tetracme quadricornis","annual","","",""
"Cymatocarpus pilosissimus","annual","","",""
"Catenulina hedysaroides","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated","""annual or biennial"""
"Atelanthera perpusilla","annual","","",""
"Cryptospora falcata","annual","","",""
"Neotorularia dentata","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated","""annual or biennial"""
"Braya siliquosa","perennial","","",""
"Braya humilis","annual","","",""
"Braya linearis","perennial","","",""
"Braya alpina","perennial","","",""
"Braya gamosepala","perennial","","",""
"Braya parvia","perennial","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=104570","manually_curated",""
"Braya longii","perennial","","",""
"Braya fernaldii","perennial","","",""
"Braya glabella","perennial","","",""
"Braya rosea","perennial","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=104570","manually_curated",""
"Braya scharnhorsti","perennial","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=104570","manually_curated",""
"Braya forrestii","perennial","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=104570","manually_curated",""
"Shangrilaia nana","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated",""
"Lepidostemon glaricola","perennial","","",""
"Pycnoplinthopsis bhutanica","perennial","","",""
"Dilophia salsa","annual","","",""
"Lachnoloma lehmannii","annual","","",""
"Spryginia winkleri","annual","","",""
"Spryginia falcata","annual","","",""
"Neotorularia contortuplicata","annual","","",""
"Neotorularia torulosa","annual","","",""
"Streptoloma desertorum","annual","","",""
"Strigosella brevipes","annual","","",""
"Strigosella scorpioides","annual","","",""
"Strigosella africana","annual","","",""
"Leptaleum filifolium","annual","","",""
"Neotorularia korolkowii","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated","""annual or biennial"""
"Euclidium syriacum","annual","","",""
"Dichasianthus subtilissimus","annual","","",""
"Leiospora eriocalyx","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated",""
"Leiospora pamirica","perennial","","",""
"Leiospora exscapa","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated",""
"Leiospora beketovii","perennial","","",""
"Leiospora saposhnikovii","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated",""
