"species","life_form"
"Hypericum dichotomum","perennial"
"Hypericum drummondii","annual"
"Hypericum terrae-firmae","perennial"
"Hypericum denticulatum","perennial"
"Hypericum gentianoides","annual"
"Hypericum garciae","perennial"
"Hypericum thuyoides","perennial"
"Hypericum simonsii","perennial"
"Hypericum woodianum","perennial"
"Hypericum laricifolium","perennial"
"Hypericum cuatrecasii","perennial"
"Hypericum lycopodioides","perennial"
"Hypericum humboldtianum","perennial"
"Hypericum cardonae","perennial"
"Hypericum irazuense","perennial"
"Hypericum magniflorum","perennial"
"Hypericum gleasonii","perennial"
"Hypericum mexicanum","perennial"
"Hypericum myricariifolium","perennial"
"Hypericum goyanesii","perennial"
"Hypericum cymobrathys","perennial"
"Hypericum bryoides","perennial"
"Hypericum tetrastichum","perennial"
"Hypericum selaginella","perennial"
"Hypericum lancioides subsp. congestiflorum","perennial"
"Hypericum strictum","perennial"
"Hypericum lancifolium","perennial"
"Hypericum strictum subsp. compactum","no_life_form_on_database"
"Hypericum marahuacanum subsp. chimantaicum","perennial"
"Hypericum juniperinum","perennial"
"Hypericum lancioides","perennial"
"Hypericum llanganaticum","perennial"
"Hypericum aciculare","perennial"
"Hypericum sprucei","perennial"
"Hypericum prostratum","perennial"
"Hypericum costaricense","perennial"
"Hypericum ruscoides","perennial"
"Hypericum pimeleoides","perennial"
"Hypericum hartwegii","perennial"
"Hypericum maguirei","perennial"
"Hypericum andinum","perennial"
"Hypericum harlingii","perennial"
"Hypericum callacallanum","perennial"
"Hypericum struthiolifolium","perennial"
"Hypericum decandrum","perennial"
"Hypericum gnidioides","perennial"
"Hypericum brevistylum","annual"
"Hypericum loxense subsp. loxense","perennial"
"Hypericum silenoides","annual"
"Hypericum quitense","perennial"
"Hypericum quitense","perennial"
"Hypericum pratense","annual"
"Hypericum philonotis","annual"
"Hypericum arbuscula","perennial"
"Hypericum silenoides","annual"
"Hypericum thesiifolium","annual"
"Hypericum connatum","perennial"
"Hypericum brasiliense","perennial"
"Hypericum campestre subsp. campestre","no_life_form_on_database"
"Hypericum linoides","no_life_form_on_database"
"Hypericum polyanthemum","perennial"
"Hypericum rigidum subsp. rigidum","no_life_form_on_database"
"Hypericum ternum","perennial"
"Hypericum gramineum","annual"
"Hypericum japonicum","annual"
"Hypericum canadense","annual"
"Hypericum microsepalum","perennial"
"Hypericum tetrapetalum","perennial"
"Hypericum apocynifolium","perennial"
"Hypericum nudiflorum","perennial"
"Hypericum hypericoides subsp. hypericoides","perennial"
"Hypericum cistifolium","perennial"
"Hypericum buckleyi","perennial"
"Hypericum brachyphyllum","perennial"
"Hypericum suffruticosum","perennial"
"Hypericum tenuifolium","perennial"
"Hypericum densiflorum","perennial"
"Hypericum prolificum","perennial"
"Hypericum kalmianum","perennial"
"Hypericum frondosum","perennial"
"Hypericum lobocarpum","perennial"
"Hypericum crux-andreae","no_life_form_on_database"
"Hypericum myrtifolium","perennial"
"Hypericum nitidum","perennial"
"Hypericum lloydii","perennial"
"Hypericum fasciculatum","perennial"
"Hypericum lissophloeus","perennial"
"Hypericum chapmanii","perennial"
"Hypericum galioides","perennial"
"Hypericum adpressum","perennial"
"Hypericum sphaerocarpum","perennial"
"Hypericum dolabriforme","perennial"
"Hypericum fauriei","perennial"
"Hypericum fraseri","perennial"
"Hypericum virginicum var. fraseri","no_life_form_on_database"
"Hypericum tubulosum","perennial"
"Hypericum virginicum","perennial"
"Hypericum walteri","perennial"
