"species","life_form","source","notes_1","notes_2"
"Oenothera elongata","annual","","",NA
"Oenothera mendocinensis","annual","","",NA
"Oenothera tarijensis","annual","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Oenothera longituba","annual","","",NA
"Oenothera ravenii","annual","","",NA
"Oenothera bahia-blancae","annual","","",NA
"Oenothera stricta","annual","","",NA
"Oenothera parodiana","annual","","",NA
"Oenothera magellanica","annual","","",NA
"Oenothera picensis","annual","","",NA
"Oenothera villaricae","annual","","",NA
"Oenothera sandiana","annual","","",NA
"Oenothera versicolor","annual","","",NA
"Oenothera affinis","annual","","",NA
"Oenothera nana","annual","","",NA
"Oenothera humifusa","annual","","",NA
"Oenothera laciniata","annual","","",NA
"Oenothera grandis","annual","","",NA
"Oenothera drummondii","perennial","","",NA
"Oenothera longiflora","annual","","",NA
"Oenothera heterophylla","annual","","",NA
"Oenothera elata","annual","","",NA
"Oenothera longissima","annual","","",NA
"Oenothera oakesiana","annual","","",NA
"Oenothera villosa","annual","","",NA
"Oenothera grandiflora","annual","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Oenothera nutans","annual","","",NA
"Oenothera biennis","annual","","",NA
"Oenothera glazioviana","annual","","",NA
"Oenothera argillicola","annual","","",NA
"Oenothera clelandii","annual","","",NA
"Oenothera rhombipetala","annual","","",NA
"Oenothera maysillesii","perennial","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Oenothera pubescens","annual","","",NA
"Oenothera stubbei","perennial","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Oenothera indecora","annual","","",NA
"Oenothera organensis","perennial","","",NA
"Oenothera macrosceles","perennial","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Oenothera odorata","annual","","",NA
"Oenothera arizonica","annual","","",NA
"Oenothera deltoides","perennial","","",NA
"Oenothera wigginsii","annual","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Oenothera engelmannii","annual","","",NA
"Oenothera albicaulis","perennial","","",NA
"Oenothera latifolia","perennial","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Oenothera pallida","perennial","","",NA
"Oenothera neomexicana","annual","","",NA
"Oenothera californica","perennial","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Oenothera coronopifolia","perennial","","",NA
"Oenothera nuttallii","perennial","","",NA
"Oenothera tubifera","no_life_form_on_database","","",NA
"Oenothera primiveris","annual","","",NA
"Oenothera xylocarpa","perennial","","",NA
"Oenothera coloradensis","annual","","",NA
"Oenothera xenogaura","no_life_form_on_database","","",NA
"Oenothera demareei","annual","","",NA
"Oenothera lindheimeri","perennial","","",NA
"Oenothera gaura","annual","","",NA
"Oenothera simulans","annual","","",NA
"Oenothera filiformis","annual","","",NA
"Oenothera hexandra","annual","","",NA
"Oenothera suffulta","annual","","",NA
"Oenothera triangulata","annual","","",NA
"Oenothera patriciae","annual","","",NA
"Oenothera boquillensis","perennial","","",NA
"Oenothera suffrutescens","perennial","","",NA
"Oenothera cinerea","perennial","","",NA
"Oenothera filipes","perennial","","",NA
"Oenothera mckelveyae","perennial","","",NA
"Oenothera calcicola","perennial","","",NA
"Oenothera sinuosa","perennial","","",NA
"Oenothera arida","perennial","","",NA
"Oenothera curtiflora","annual","","",NA
"Oenothera glaucifolia","annual","","",NA
"Oenothera anomala","perennial","","",NA
"Oenothera brachycarpa","perennial","","",NA
"Oenothera macrocarpa","perennial","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Oenothera multicaulis","perennial","","",NA
"Oenothera tetraptera","perennial","","",NA
"Oenothera linifolia","annual","","",NA
"Oenothera fruticosa","perennial","","",NA
"Oenothera pilosella","perennial","","",NA
"Oenothera perennis","perennial","","",NA
"Oenothera riparia","perennial","","",NA
"Oenothera spachiana","annual","","",NA
"Oenothera havardii","perennial","","",NA
"Oenothera kunthiana","perennial","","",NA
"Oenothera speciosa","perennial","","",NA
"Oenothera rosea","perennial","","",NA
"Oenothera canescens","perennial","","",NA
"Oenothera acutissima","perennial","","",NA
"Oenothera flava","perennial","","",NA
"Oenothera acaulis","perennial","","",NA
"Oenothera berlandieri","perennial","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Oenothera serrulata","perennial","","",NA
"Oenothera toumeyi","annual","","",NA
"Oenothera hartwegii","perennial","","",NA
"Oenothera lavandulifolia","annual","","",NA
"Oenothera cespitosa","perennial","","",NA
"Oenothera psammophila","perennial","","",NA
"Chylismia arenaria","annual","","",NA
"Chylismia claviformis","annual","","",NA
"Eulobus californicus","annual","","",NA
"Eulobus crassifolius","perennial","","",NA
"Camissonia benitensis","annual","","",NA
"Camissonia contorta","annual","","",NA
"Camissonia strigulosa","annual","","",NA
"Camissonia campestris","annual","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Camissonia kernensis","annual","","",NA
"Eremothera boothii","annual","","",NA
"Eremothera minor","annual","","",NA
"Eremothera nevadensis","annual","","",NA
"Eremothera refracta","annual","","",NA
"Camissoniopsis cheiranthifolia","perennial","","",NA
"Neoholmgrenia andina","annual","","",NA
"Tetrapteron graciliflorum","annual","","",NA
"Clarkia biloba","annual","","",NA
"Clarkia lingulata","annual","","",NA
"Clarkia modesta","annual","","",NA
"Clarkia heterandra","annual","","",NA
"Clarkia unguiculata","annual","","",NA
"Clarkia epilobioides","annual","","",NA
"Clarkia similis","annual","","",NA
"Clarkia dudleyana","annual","","",NA
"Clarkia amoena","annual","","",NA
"Clarkia gracilis","annual","","",NA
"Clarkia franciscana","annual","","",NA
"Clarkia mildrediae","annual","","",NA
"Clarkia concinna","annual","","",NA
"Clarkia pulchella","annual","","",NA
"Clarkia lassenensis","annual","","",NA
"Clarkia delicata","annual","","",NA
"Clarkia rostrata","annual","","",NA
"Clarkia arcuata","annual","","",NA
"Clarkia bottae","annual","","",NA
"Clarkia imbricata","annual","","",NA
"Clarkia affinis","annual","","",NA
"Clarkia lewisii","annual","","",NA
"Clarkia xantiana","annual","","",NA
"Gayophytum diffusum","annual","","",NA
"Gayophytum heterozygum","annual","","",NA
"Gayophytum eriospermum","annual","","",NA
"Gayophytum humile","annual","","",NA
"Chylismiella pterosperma","annual","","",NA
"Taraxia subacaulis","perennial","","",NA
"Taraxia tanacetifolia","perennial","","",NA
"Taraxia ovata","perennial","","",NA
"Xylonagra arborea","perennial","https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera","manually_curated",NA
"Epilobium chionanthum","perennial","","",NA
"Epilobium insulare","perennial","","",NA
"Epilobium margaretiae","perennial","","",NA
"Epilobium crassum","perennial","","",NA
"Epilobium komarovianum","perennial","","",NA
"Epilobium rostratum","perennial","","",NA
"Epilobium brevipes","perennial","","",NA
"Epilobium gracilipes","perennial","","",NA
"Epilobium macropus","perennial","","",NA
"Epilobium porphyrium","perennial","","",NA
"Epilobium glabellum","perennial","","",NA
"Epilobium melanocaulon","perennial","","",NA
"Epilobium pernitens","perennial","","",NA
"Epilobium angustum","perennial","","",NA
"Epilobium pubens","perennial","","",NA
"Epilobium siskiyouense","perennial","","",NA
"Epilobium microphyllum","perennial","","",NA
"Epilobium pycnostachyum","perennial","","",NA
"Epilobium alsinoides","perennial","","",NA
"Epilobium brunnescens","perennial","","",NA
"Epilobium tasmanicum","perennial","","",NA
"Epilobium gunnianum","perennial","","",NA
