"species","life_form","source","notes_1","notes_2"
"Aphyllon robbinsii","annual","https://www.calflora.org/app/taxon?crn=13530","manually_curated",""
"Aphyllon vallicolum","annual","https://www.calflora.org/app/taxon?crn=13450","manually_curated",""
"Aphyllon corymbosum","annual","https://www.calflora.org/app/taxon?crn=13440","manually_curated",""
"Aphyllon chilensis","no_life_form_on_database","","",""
"Aphyllon tacnaense","annual","https://warpp.app/taxa/717","manually_curated",""
"Aphyllon ludovicianum","annual","https://warpp.app/taxa/705","manually_curated",""
"Aphyllon multiflorum","annual","https://warpp.app/taxa/1726","manually_curated",""
"Aphyllon arizonicum","annual","https://warpp.app/taxa/220","manually_curated",""
"Aphyllon riparium","annual","https://warpp.app/taxa/716","manually_curated",""
"Aphyllon tarapacanum","annual","https://warpp.app/taxa/718","manually_curated",""
"Aphyllon pinorum","annual","https://warpp.app/taxa/1755","manually_curated",""
"Aphyllon dugesii","annual","https://warpp.app/taxa/702","manually_curated",""
"Aphyllon tuberosum","perennial","https://www.calflora.org/app/taxon?crn=13446","manually_curated",""
"Aphyllon purpureum","annual","https://www.calflora.org/app/taxon?crn=13529","manually_curated",""
"Aphyllon uniflorum","annual","http://floraofalabama.org/Plant.aspx?id=2797","manually_curated",""
"Aphyllon fasciculatum","perennial","https://www.calflora.org/app/taxon?crn=13441","manually_curated",""
"Phelipanche georgii-reuteri","no_life_form_on_database","","",""
"Phelipanche tunetana","perennial","https://warpp.app/taxa/1857","manually_curated",""
"Phelipanche nana","annual","https://www.maltawildplants.com/ORBN/Phelipanche_nana_subsp_melitensis.php","manually_curated",""
"Phelipanche oxyloba","perennial","https://warpp.app/taxa/1595","manually_curated",""
"Orobanche gratiosa","perennial","","",""
"Phelipanche portoilicitana","no_life_form_on_database","","",""
"Phelipanche pulchella","no_life_form_on_database","","",""
"Phelipanche bungeana","no_life_form_on_database","","",""
"Phelipanche coelestis","perennial","https://warpp.app/taxa/1592","manually_curated",""
"Phelipanche ramosa","perennial","https://www.calflora.org/app/taxon?crn=13518","manually_curated",""
"Phelipanche iberica","no_life_form_on_database","","",""
"Phelipanche aegyptiaca","perennial","https://www.calflora.org/app/taxon?crn=13052","manually_curated",""
"Phelipanche inexspectata","no_life_form_on_database","","",""
"Phelipanche rosmarina","perennial","https://warpp.app/taxa/1512","manually_curated",""
"Phelipanche lavandulacea","perennial","https://warpp.app/taxa/1593","manually_curated",""
"Phelipanche mutelii","annual","https://warpp.app/taxa/375","manually_curated",""
"Phelipanche bohemica","no_life_form_on_database","","",""
"Phelipanche purpurea","annual","https://warpp.app/taxa/402","manually_curated","""biennial"""
"Phelipanche arenaria","perennial","https://warpp.app/taxa/400","manually_curated",""
"Phelipanche caesia","no_life_form_on_database","","",""
"Phelipanche nowackiana","no_life_form_on_database","","",""
"Orobanche owerinii","perennial","","",""
"Orobanche transcaucasica","perennial","","",""
"Orobanche picridis","perennial","","",""
"Orobanche pubescens","perennial","","",""
"Orobanche crenata","annual","","",""
"Orobanche artemisiae-campestris","perennial","","",""
"Orobanche minor","perennial","","",""
"Orobanche amethystea","perennial","","",""
"Orobanche hederae","perennial","","",""
"Orobanche ballotae","perennial","","",""
"Orobanche santolinae","perennial","","",""
"Orobanche sintenisii","perennial","","",""
"Orobanche bartlingii","perennial","","",""
"Orobanche elatior","perennial","","",""
"Orobanche ozanonis","no_life_form_on_database","","",""
"Orobanche ritro","no_life_form_on_database","","",""
"Orobanche lucorum","perennial","","",""
"Orobanche salviae","perennial","","",""
"Orobanche haenseleri","perennial","","",""
"Orobanche flava","perennial","","",""
"Orobanche alba","perennial","","",""
"Orobanche grossheimii","perennial","","",""
"Orobanche pancicii","perennial","","",""
"Orobanche reticulata","perennial","","",""
"Orobanche raddeana","no_life_form_on_database","","",""
"Orobanche krylowii","perennial","","",""
"Orobanche lycoctoni","perennial","","",""
"Orobanche rapum-genistae","perennial","","",""
"Orobanche densiflora","perennial","","",""
