"","species","life_form"
"1791","Miscanthus_fuscus","perennial"
"1792","Saccharum_longisetosum","no_life_form_on_database"
"1793","Saccharum_narenga","no_life_form_on_database"
"1794","Miscanthus_junceus","no_life_form_on_database"
"1795","Miscanthus_ecklonii","perennial"
"1796","Saccharum_giganteum","no_life_form_on_database"
"1797","Saccharum_baldwinii","no_life_form_on_database"
"1798","Saccharum_brevibarbe","no_life_form_on_database"
"1799","Eulalia_quadrinervis","no_life_form_on_database"
"1800","Saccharum_robustum","perennial"
"1801","Saccharum_officinarum","perennial"
"1802","Saccharum_×sinense","perennial"
"1803","Miscanthus_paniculatus","perennial"
"1804","Eulalia_trispicata","no_life_form_on_database"
"1805","Saccharum_fallax","no_life_form_on_database"
"1806","Eulalia_siamensis","perennial"
"1807","Miscanthus_giganteus","no_life_form_on_database"
"1808","Miscanthus_changii","no_life_form_on_database"
"1809","Miscanthus_changii","no_life_form_on_database"
"1810","Miscanthus_sacchariflorus","perennial"
"1811","Miscanthus_sinensis","perennial"
"1812","Miscanthus_floridulus","perennial"
"1813","Miscanthus_oligostachyus","perennial"
"1814","Miscanthus_nepalensis","perennial"
"1815","Miscanthus_nudipes","perennial"
"1816","Pseudosorghum_fasciculare","annual"
"1817","Pseudosorghum_zollingeri","annual"
"1818","Sorghum_matarankense","annual"
"1819","Sorghum_ecarinatum","annual"
"1820","Sorghum_timorense_de","no_life_form_on_database"
"1821","Sorghum_plumosum","no_life_form_on_database"
"1822","Sorghum_amplum","annual"
"1823","Sorghum_stipoideum","no_life_form_on_database"
"1824","Sorghum_interjectum","perennial"
"1825","Sorghum_brachypodum","annual"
"1826","Sorghum_angustum","no_life_form_on_database"
"1827","Sorghum_exstans","annual"
"1828","Sorghum_intrans","no_life_form_on_database"
"1829","Sorghum_bulbosum","annual"
"1830","Sorghum_grande","perennial"
"1831","Sorghum_leiocladum","no_life_form_on_database"
"1832","Sorghum_purpureosericeum","no_life_form_on_database"
"1833","Sorghum_versicolor","no_life_form_on_database"
"1834","Sorghum_nitidum","perennial"
"1835","Eulalia_villosa","perennial"
"1836","Sorghum_arundinaceum","annual"
"1837","Sorghum_almum","no_life_form_on_database"
"1838","Sorghum_bicolor","annual"
"1839","Sorghum_halepense","perennial"
"1840","Sorghum_propinquum","perennial"
"1841","Sorghum_laxiflorum","annual"
"1842","Sorghum_macrospermum","no_life_form_on_database"
"1843","Microstegium_japonicum","annual"
"1844","Microstegium_somae","annual"
"1845","Microstegium_nudum","no_life_form_on_database"
"1846","Saccharum_spontaneum","perennial"
"1847","Saccharum_ravennae","no_life_form_on_database"
"1848","Germainia_truncatiglumis","perennial"
"1849","Saccharum_arundinaceum","no_life_form_on_database"
"1850","Pogonatherum_crinitum","perennial"
"1851","Pogonatherum_paniceum","perennial"
"1852","Imperata_cheesemanii","perennial"
"1853","Imperata_brevifolia","perennial"
"1854","Imperata_cylindrica","perennial"
"1855","Imperata_brasiliensis","perennial"
"1856","Apocopis_courtallumensis","annual"
"1857","Apocopis_intermedius","perennial"
"1858","Germainia_lanipes","perennial"
"1859","Apocopis_siamensis","annual"
"1860","Apocopis_collinus","perennial"
"1861","Germainia_pilosa","annual"
"1862","Germainia_khasyana","perennial"
"1863","Germainia_capitata","annual"
"1864","Ischaemum_koleostachys","perennial"
"1865","Ischaemum_santapaui","annual"
"1866","Euclasta_condylotricha","annual"
"1867","Bothriochloa_laguroides","perennial"
"1868","Bothriochloa_springfieldii","perennial"
"1869","Bothriochloa_alta","perennial"
"1870","Bothriochloa_barbinodis","perennial"
"1871","Bothriochloa_compressa","perennial"
"1872","Bothriochloa_ischaemum","perennial"
