"","species","life_form"
"1","Festuca_luciarum","perennial"
"2","Festuca_multinodis","perennial"
"3","Festuca_coxii","perennial"
"4","Festuca_ultramafica","perennial"
"5","Festuca_heterophylla","perennial"
"6","Festuca_rubra","perennial"
"7","Festuca_queriana","perennial"
"8","Festuca_rifana","perennial"
"9","Festuca_nigrescens","perennial"
"10","Festuca_rothmaleri","perennial"
"11","Festuca_nevadensis","perennial"
"12","Festuca_ampla","perennial"
"13","Festuca_iberica","perennial"
"14","Festuca_francoi","perennial"
"15","Festuca_petraea","perennial"
"16","Festuca_rivularis","perennial"
"17","Festuca_agustini","perennial"
"18","Festuca_jubata","perennial"
"19","Festuca_hephaestophila","perennial"
"20","Festuca_elata","perennial"
"21","Micropyrum_patens","annual"
"22","Micropyrum_tenellum","no_life_form_on_database"
"23","Vulpia_bromoides","no_life_form_on_database"
"24","Vulpia_muralis","no_life_form_on_database"
"25","Vulpia_brevis","no_life_form_on_database"
"26","Vulpia_fasciculata","no_life_form_on_database"
"27","Vulpia_sicula","no_life_form_on_database"
"28","Vulpia_geniculata","no_life_form_on_database"
"29","Vulpia_membranacea","no_life_form_on_database"
"30","Vulpia_fontquerana","no_life_form_on_database"
"31","Vulpia_alopecuros","no_life_form_on_database"
"32","Festuca_plicata","perennial"
"33","Vulpia_unilateralis","no_life_form_on_database"
"34","Wangenheimia_lima","annual"
"35","Narduroides_salzmannii","no_life_form_on_database"
"36","Vulpia_delicatula","no_life_form_on_database"
"37","Festuca_clementei","perennial"
"38","Festuca_borderii","no_life_form_on_database"
"39","Festuca_orthophylla","no_life_form_on_database"
"40","Festuca_nardifolia","perennial"
"41","Festuca_rigescens","perennial"
"42","Festuca_longivaginata","perennial"
"43","Festuca_parodiana","perennial"
"44","Festuca_calligera","perennial"
"45","Festuca_tolucensis","perennial"
"46","Festuca_cochabambana","perennial"
"47","Festuca_cundinamarcae","perennial"
"48","Festuca_cuzcoensis","perennial"
"49","Festuca_fragilis","perennial"
"50","Festuca_ulochaeta","perennial"
"51","Festuca_andicola","perennial"
"52","Festuca_yalaensis","perennial"
"53","Festuca_vaginalis","no_life_form_on_database"
"54","Festuca_edlundiae","perennial"
"55","Dielsiochloa_floribunda","no_life_form_on_database"
"56","Festuca_chimborazensis","perennial"
"57","Festuca_glumosa","perennial"
"58","Festuca_purpurascens","perennial"
"59","Festuca_thermarum","no_life_form_on_database"
"60","Podophorus_bromoides","no_life_form_on_database"
"61","Megalachne_berteroniana","perennial"
"62","Megalachne_masafuerana","no_life_form_on_database"
"63","Festuca_circummediterranea","perennial"
"64","Festuca_ovina","perennial"
"65","Festuca_lenensis","perennial"
"66","Festuca_summilusitana","perennial"
"67","Festuca_indigesta","perennial"
"68","Festuca_glacialis","perennial"
"69","Festuca_longifolia","perennial"
"70","Festuca_brachyphylla","perennial"
"71","Festuca_gracilior","perennial"
"72","Festuca_frigida","perennial"
"73","Festuca_valentina","perennial"
"74","Festuca_Tourn.","no_life_form_on_database"
"75","Festuca_hystrix","perennial"
"76","Festuca_alpina","perennial"
"77","Festuca_hyperborea","perennial"
"78","Festuca_halleri","perennial"
"79","Festuca_brevissima","perennial"
"80","Festuca_saximontana","perennial"
"81","Festuca_intercedens","perennial"
"82","Festuca_stricta","perennial"
"83","Festuca_pallens","perennial"
"84","Festuca_laevigata","perennial"
"85","Festuca_wagneri","perennial"
"86","Festuca_pseudodalmatica","perennial"
"87","Festuca_kolymensis","perennial"
"88","Festuca_pseudovina","no_life_form_on_database"
"89","Festuca_viviparoidea","perennial"
"90","Festuca_arvernensis","perennial"
"91","Festuca_vaginata","perennial"
"92","Festuca_valesiaca","perennial"
"93","Festuca_dalmatica","perennial"
"94","Festuca_javorkae","perennial"
"95","Festuca_arizonica","perennial"
"96","Festuca_rupicaprina","perennial"
"97","Festuca_beckeri","perennial"
"98","Festuca_lemanii","perennial"
"99","Festuca_roemeri","no_life_form_on_database"
"100","Festuca_idahoensis","perennial"
"101","Festuca_glauca","perennial"
"102","Festuca_trichophylla","perennial"
"103","Festuca_filiformis","perennial"
"104","Festuca_flacca","perennial"
"105","Festuca_baffinensis","perennial"
"106","Festuca_pyrenaica","perennial"
"107","Festuca_amethystina","perennial"
"108","Festuca_occidentalis","perennial"
"109","Festuca_capillifolia","perennial"
"110","Festuca_matthewsii_subsp._aquilonia","no_life_form_on_database"
"111","Festuca_actae","perennial"
"112","Festuca_deflexa","perennial"
"113","Festuca_novae-zealandiae","no_life_form_on_database"
"114","Festuca_contracta","perennial"
"115","Festuca_madida","perennial"
"116","Festuca_molokaiensis","perennial"
"117","Festuca_aloha","perennial"
"118","Festuca_richardsonii","perennial"
"119","Psilurus_incurvus","no_life_form_on_database"
"120","Vulpia_myuros","no_life_form_on_database"
"121","Vulpia_ciliata","no_life_form_on_database"
"122","Festuca_violacea","perennial"
"123","Festuca_norica","perennial"
"124","Festuca_subverticillata","perennial"
"125","Festuca_tatrae","perennial"
