"species","life_form"
"Mostacillastrum andinum","perennial"
"Mostacillastrum commune","annual"
"Mostacillastrum leptocarpum","perennial"
"Chilocardamum castellanosii","perennial"
"Sarcodraba dusenii","perennial"
"Mostacillastrum subscandens","perennial"
"Pringlea antiscorbutica","no_life_form_on_database"
"Chilocardamum patagonicum","perennial"
"Ivania juncalensis","no_life_form_on_database"
"Polypsecadium magellanicum","perennial"
"Phlebolobium maclovianum","perennial"
"Polypsecadium grandiflorum","annual"
"Polypsecadium tucumanense","perennial"
"Neuontobotrys frutescens","perennial"
"Ivania cremnophila","perennial"
"Mostacillastrum orbignyanum","perennial"
"Mostacillastrum stenophyllum","perennial"
"Sibara tehuelches","no_life_form_on_database"
"Streptanthus polygaloides","annual"
"Thelypodium flexuosum","perennial"
"Thelypodium integrifolium","annual"
"Thelypodium sagittatum","annual"
"Thelypodium crispum","annual"
"Streptanthus tortuosus","annual"
"Streptanthus diversifolius","annual"
"Streptanthus fenestratus","annual"
"Polypsecadium rusbyi","no_life_form_on_database"
"Sibara mendocina","no_life_form_on_database"
"Streptanthus carinatus","annual"
"Streptanthus lasiophyllus","annual"
"Polypsecadium harmsianum","annual"
"Dictyophragmus punensis","annual"
"Dryopetalon runcinatum","annual"
"Streptanthus californicus","annual"
"Streptanthus lemmonii","annual"
"Streptanthus coulteri","annual"
"Streptanthus inflatus","annual"
"Streptanthus bracteatus","annual"
"Streptanthus cutleri","annual"
"Streptanthus hyacinthoides","annual"
"Streptanthus simulans","annual"
"Streptanthus heterophyllus","annual"
"Streptanthus petiolaris","annual"
"Werdermannia anethifolia","no_life_form_on_database"
"Sibara macrostachya","no_life_form_on_database"
"Phravenia viereckii","no_life_form_on_database"
"Streptanthus barbatus","perennial"
"Streptanthus pilosus","annual"
"Streptanthus anceps","annual"
"Streptanthus flavescens","annual"
"Mostacillastrum subauriculatum","annual"
"Sibara angelorum","no_life_form_on_database"
"Chaunanthus acuminatus","perennial"
"Dryopetalon auriculatum","annual"
"Streptanthus longisiliquus","perennial"
"Chlorocrambe hastata","perennial"
"Streptanthus howellii","perennial"
"Stanleya elata","perennial"
"Streptanthus crassicaulis","perennial"
"Streptanthus vernalis","annual"
"Streptanthus morrisonii","annual"
"Streptanthus brachiatus","annual"
"Streptanthus batrachopus","annual"
"Streptanthus barbiger","annual"
"Streptanthus hesperidis","annual"
"Streptanthus breweri","annual"
"Streptanthus cooperi","annual"
"Thysanocarpus erectus","no_life_form_on_database"
"Hesperidanthus argillaceus","perennial"
"Hesperidanthus barnebyi","perennial"
"Streptanthus major","annual"
"Streptanthus farnsworthianus","annual"
"Stanleya pinnata","perennial"
"Thelypodiopsis ambigua","annual"
"Thelypodiopsis elegans","annual"
"Streptanthus glaucus","perennial"
"Sibara laxa","no_life_form_on_database"
"Streptanthella longirostris","no_life_form_on_database"
"Streptanthus longirostris","annual"
"Streptanthus hammittii","annual"
"Warea cuneifolia","annual"
"Zuloagocardamum jujuyensis","no_life_form_on_database"
"Dryopetalon paysonii","no_life_form_on_database"
"Streptanthus campestris","perennial"
"Streptanthus bernardinus","perennial"
"Sibara deserti","annual"
"Streptanthus maculatus","annual"
"Mostacillastrum vaseyi","no_life_form_on_database"
"Hesperidanthus jaegeri","perennial"
"Neuontobotrys grayana","no_life_form_on_database"
"Mostacillastrum sagittatum","no_life_form_on_database"
"Neuontobotrys tarapacana","perennial"
"Neuontobotrys linearifolia","perennial"
"Neuontobotrys lanata","perennial"
"Mostacillastrum gracile","perennial"
"Weberbauera peruviana","annual"
"Polypsecadium solidagineum","no_life_form_on_database"
"Polypsecadium adscendens","perennial"
"Englerocharis pauciflora","perennial"
"Parodiodoxa chionophila","perennial"
"Weberbauera rosulans","no_life_form_on_database"
"Weberbauera herzogii","perennial"
"Chaunanthus petiolatus","perennial"
"Polypsecadium effusum","no_life_form_on_database"
"Thelypodium laciniatum","annual"
"Dictyophragmus englerianus","annual"
"Romanschulzia arabiformis","annual"
"Romanschulzia costaricensis","annual"
"Hesperidanthus linearifolius","perennial"
"Thelypodium wrightii","annual"
"Streptanthus amplexicaulis","annual"
"Streptanthus cordatus","perennial"
"Warea sessilifolia","annual"
"Warea amplexifolia","annual"
"Streptanthus hallii","annual"
"Streptanthus platycarpus","annual"
"Stanleya tomentosa","perennial"
"Streptanthus glandulosus var. albidus","no_life_form_on_database"
"Streptanthus glandulosus subsp. glandulosus","no_life_form_on_database"
"Streptanthus insignis subsp. insignis","no_life_form_on_database"
"Streptanthus callistus","annual"
"Streptanthus hispidus","annual"
"Streptanthus glandulosus var. niger","annual"
"Thysanocarpus laciniatus","annual"
"Thysanocarpus curvipes var. curvipes","no_life_form_on_database"
"Thysanocarpus radians","annual"
"Thysanocarpus conchuliferus","no_life_form_on_database"
