"species","life_form"
"Smelowskia calycina (Stephan) C.A.Mey. C.A.Mey. (Stephan)","perennial"
"Thlaspi arvense L.","annual"
"Aimara rollinsii (Al-Shehbaz & Martic.) Salariato & Al-Shehbaz Salariato & Al-Shehbaz (Al-Shehbaz & Martic.)","perennial"
"Cremolobus chilensis (Lag. ex DC.) DC. DC. (Lag. ex DC.)","annual"
"Cremolobus rhomboideus Hook.","annual"
"Cremolobus peruvianus (Lam.) DC. DC. (Lam.)","perennial"
"Menonvillea chilensis (Turcz.) B.D.Jacks. B.D.Jacks. (Turcz.)","annual"
"Menonvillea orbiculata Phil.","biennial"
"Menonvillea filifolia Fisch. & C.A.Mey.","annual"
"Menonvillea pinnatifida Barnéoud","annual"
"Menonvillea litoralis (Barnéoud) Rollins Rollins (Barnéoud)","annual"
"Menonvillea flexuosa Phil.","perennial"
"Menonvillea linearis DC.","perennial"
"Menonvillea marticorenae (Al-Shehbaz) Salariato & Al-Shehbaz Salariato & Al-Shehbaz (Al-Shehbaz)","annual"
"Menonvillea purpurea (Hastings) Rollins Rollins (Hastings)","perennial"
"Menonvillea minima Rollins","annual"
"Menonvillea cicatricosa (Phil.) Rollins Rollins (Phil.)","perennial"
"Menonvillea nordenskjoeldii (Dusén) Rollins Rollins (Dusén)","perennial"
"Menonvillea rigida Rollins","perennial"
"Menonvillea spathulata (Gillies & Hook.) Rollins Rollins (Gillies & Hook.)","perennial"
"Menonvillea comberi N.Y.Sandwith","annual"
"Menonvillea patagonica Speg.","annual"
"Menonvillea cuneata (Gillies & Hook.) Rollins Rollins (Gillies & Hook.)","perennial"
"Menonvillea virens (Phil.) Rollins Rollins (Phil.)","perennial"
"Menonvillea frigida (Phil.) Rollins Rollins (Phil.)","perennial"
"Menonvillea famatinensis (Boelcke) Rollins Rollins (Boelcke)","perennial"
"Menonvillea hookeri Rollins","no_life_form_on_database"
"Menonvillea scapigera (Phil.) Rollins Rollins (Phil.)","perennial"
"Aschersoniodoxa cachensis (Speg.) Al-Shehbaz Al-Shehbaz (Speg.)","perennial"
"Aschersoniodoxa mandoniana (Wedd.) Gilg & Muschl. Gilg & Muschl. (Wedd.)","perennial"
"Brayopsis colombiana Al-Shehbaz","perennial"
"Eudema nubigena subsp. nubigena","no_life_form_on_database"
"Eudema nubigena subsp. remyana (Wedd.) Al-Shehbaz Al-Shehbaz (Wedd.)","perennial"
"Brayopsis gamosepala Al-Shehbaz","perennial"
"Brayopsis alpaminae Gilg & Muschl.","perennial"
"Brayopsis monimocalyx (Gilg & Muschl. ex Hosseus) O.E.Schulz O.E.Schulz (Gilg & Muschl. ex Hosseus)","perennial"
"Brayopsis calycina (Desv.) Gilg & Muschl. Gilg & Muschl. (Desv.)","perennial"
"Eudema rupestris Humb. & Bonpl.","perennial"
"Brayopsis diapensioides (Wedd.) Gilg & Muschl. Gilg & Muschl. (Wedd.)","perennial"
"Dactylocardamum imbricatifolium Al-Shehbaz","perennial"
"Aschersoniodoxa peruviana Al-Shehbaz, Ed.Navarro & A.Cano","no_life_form_on_database"
"Onuris alismatifolia Gilg ex Skotts.","perennial"
"Onuris hatcheriana (Gilg ex Macloskie) Gilg & Muschl. Gilg & Muschl. (Gilg ex Macloskie)","perennial"
"Onuris papillosa O.E.Schulz","perennial"
"Onuris spegazziniana Gilg & Muschl.","perennial"
"Onuris graminifolia Phil.","perennial"
"Xerodraba patagonica (Speg.) Skottsb. Skottsb. (Speg.)","perennial"
"Xerodraba pycnophylloides (Speg.) Skottsb. Skottsb. (Speg.)","no_life_form_on_database"
"Xerodraba pectinata (Speg.) Skottsb. Skottsb. (Speg.)","no_life_form_on_database"
"Onuris hauthalii (Gilg & Muschl.) Al-Shehbaz Al-Shehbaz (Gilg & Muschl.)","no_life_form_on_database"
"Atacama nivea (Phil.) Toro-Núñez, Mort & Al-Shehbaz Toro-Núñez, Mort & Al-Shehbaz (Phil.)","no_life_form_on_database"
"Mathewsia auriculata Phil.","perennial"
"Mathewsia linearifolia Turcz.","perennial"
"Mathewsia collina I.M.Johnst.","no_life_form_on_database"
"Mathewsia densifolia Rollins","no_life_form_on_database"
"Mathewsia peruviana O.E.Schulz","no_life_form_on_database"
"Mathewsia incana Phil.","perennial"
"Mathewsia foliosa Hook. & Arn.","perennial"
"Schizopetalon arcuatum Al-Shehbaz","annual"
"Schizopetalon bipinnatifidum Phil.","annual"
"Schizopetalon biseriatum Phil. ex Gilg & Muschl.","annual"
"Schizopetalon tenuifolium Phil.","annual"
"Schizopetalon rupestre (Barnéoud) Barnéoud Barnéoud (Barnéoud)","annual"
"Schizopetalon brachycarpum Al-Shehbaz","annual"
"Schizopetalon dentatum (Barnéoud) Gilg & Muschl. Gilg & Muschl. (Barnéoud)","annual"
"Schizopetalon maritimum Barnéoud","annual"
"Schizopetalon walkeri Sims","annual"
