"species","life_form"
"Cardamine glacialis (G.Forst.) DC. DC. (G.Forst.)","perennial"
"Cardamine lilacina Hook.","annual"
"Cardamine debilis Banks ex DC.","perennial"
"Cardamine lacustris (Garn.-Jones & P.N.Johnson) Heenan Heenan (Garn.-Jones & P.N.Johnson)","annual"
"Cardamine umbellata Greene","perennial"
"Cardamine corymbosa Hook.f.","perennial"
"Cardamine bilobata Kirk","perennial"
"Cardamine occidentalis O.E.Schulz, 1903","no_life_form_on_database"
"Cardamine macrophylla Willd.","perennial"
"Cardamine sphenophylla Jurtzev","no_life_form_on_database"
"Cardamine victoris N.Busch","perennial"
"Cardamine blaisdellii Eastw.","perennial"
"Cardamine purpurea Cham. & Schltdl.","perennial"
"Cardamine digitata Richardson","perennial"
"Cardamine prorepens Fisch.","perennial"
"Cardamine yezoensis Maxim.","perennial"
"Cardamine torrentis Nakai","no_life_form_on_database"
"Cardamine microphylla Adams","perennial"
"Cardamine pedata Regel & Tiling","perennial"
"Cardamine angulata Hook.","perennial"
"Cardamine californica (Nutt.) Greene Greene (Nutt.)","perennial"
"Cardamine nuttallii Greene","perennial"
"Cardamine longii Fernald","perennial"
"Cardamine clematitis Shuttlew.","perennial"
"Cardamine breweri S.Watson","perennial"
"Cardamine cordifolia A.Gray","perennial"
"Cardamine rupicola (O.E.Schulz) C.L.Hitchc. C.L.Hitchc. (O.E.Schulz)","perennial"
"Cardamine flexuosa With.","annual"
"Cardamine gallaecica (M.Lainz) Rivas Mart., Izco Mart. & Izco Rivas Mart., Izco Mart. & Izco (M.Lainz)","no_life_form_on_database"
"Cardamine pensylvanica Muhl.","annual"
"Cardamine scutata Thunb.","annual"
"Cardamine niigatensis H.Hara","perennial"
"Cardamine densiflora Gontsch.","no_life_form_on_database"
"Cardamine ovata Benth.","perennial"
"Cardamine africana L.","perennial"
"Cardamine wiedmanniana Boiss.","no_life_form_on_database"
"Cardamine tanakae Franch. & Sav.","biennial"
"Cardamine barbaraeoides Halácsy","perennial"
"Cardamine amara L.","perennial"
"Cardamine amporitana Sennen & Pau","no_life_form_on_database"
"Cardamine paucijuga Turcz.","annual"
"Cardamine fallax Nakai ex Koidz.","no_life_form_on_database"
"Cardamine obliqua Hochst. ex A.Rich.","perennial"
"Cardamine lihengiana Al-Shehbaz","perennial"
"Cardamine griffithii Hook.f. & Thomson","perennial"
"Cardamine jamesonii Hook.","perennial"
"Cardamine bulbosa (Schreb. ex Muhl.) Britton, Sterns & Poggenb. Britton, Sterns & Poggenb. (Schreb. ex Muhl.)","perennial"
"Cardamine douglassii Britton","perennial"
"Cardamine rotundifolia Michx.","perennial"
"Cardamine rivularis Schur","no_life_form_on_database"
"Cardamine polemonioides Rouy","perennial"
"Cardamine matthioli Moretti","perennial"
"Cardamine majovskii Marhold & Záborsky","no_life_form_on_database"
"Cardamine uliginosa M.Bieb.","perennial"
"Cardamine seidlitziana Albov","perennial"
"Cardamine tenera J.G.Gmel. ex C.A.Mey.","perennial"
"Cardamine granulosa All.","no_life_form_on_database"
"Cardamine crassifolia Pourr.","perennial"
"Cardamine castellana Lihova & Marhold","no_life_form_on_database"
"Cardamine pratensis L.","perennial"
"Cardamine dentata Schult.","no_life_form_on_database"
"Cardamine apennina Lihova & Marhold","perennial"
"Cardamine raphanifolia Pourr.","perennial"
"Cardamine penzesii Ancev & Marhold","no_life_form_on_database"
"Cardamine acris Griseb.","perennial"
"Cardamine bonariensis Pers.","perennial"
"Cardamine microzyga O.E.Schulz","perennial"
"Cardamine nipponica Franch. & Sav.","perennial"
"Cardamine franchetiana Diels","perennial"
"Cardamine glechomifolia H.Lév.","perennial"
"Cardamine rockii O.E.Schulz","perennial"
"Cardamine delavayi Franch.","perennial"
"Cardamine asarifolia L.","perennial"
"Cardamine hirsuta L.","annual"
"Cardamine cubita Molloy, Heenan & Smissen","perennial"
"Cardamine appendiculata Franch. & Sav.","perennial"
"Cardamine oligosperma Nutt.","annual"
"Cardamine pattersonii L.F.Hend.","annual"
"Cardamine pentaphyllos (L.) Crantz Crantz (L.)","perennial"
"Cardamine kitaibelii Bech.","perennial"
"Cardamine papuana (Laut.) O.E.Schulz O.E.Schulz (Laut.)","perennial"
"Cardamine heptaphylla (L.) O.E.Schulz O.E.Schulz (L.)","perennial"
"Cardamine keysseri O.E.Schulz","perennial"
"Cardamine altigena Schltr. ex O.E.Schulz","perennial"
"Cardamine waldsteinii Dyer","perennial"
"Cardamine quinquefolia (M.Bieb.) Schmalh. Schmalh. (M.Bieb.)","perennial"
"Cardamine abchasica Govaerts","perennial"
"Cardamine leucantha (Tausch) O.E.Schulz O.E.Schulz (Tausch)","perennial"
"Cardamine bipinnata (C.A.Mey.) O.E.Schulz O.E.Schulz (C.A.Mey.)","perennial"
"Cardamine glandulosa Blanco","no_life_form_on_database"
"Cardamine bulbifera (L.) Crantz Crantz (L.)","perennial"
"Cardamine impatiens L.","annual"
"Cardamine occulta Hornem.","annual"
"Cardamine pectinata Pall. ex DC.","biennial"
"Cardamine enneaphyllos (L.) Crantz Crantz (L.)","perennial"
"Cardamine conferta Jurtzev","perennial"
"Cardamine dissecta (Leavenw.) Al-Shehbaz Al-Shehbaz (Leavenw.)","perennial"
"Cardamine concatenata (Michx.) Sw. Sw. (Michx.)","perennial"
"Cardamine angustata O.E.Schulz","perennial"
"Cardamine diphylla (Michx.) A.W.Wood A.W.Wood (Michx.)","perennial"
"Cardamine fulcrata Greene","perennial"
"Cardamine constancei Detling","perennial"
"Cardamine yunnanensis Franch.","perennial"
"Cardamine fragariifolia O.E.Schulz","perennial"
"Cardamine tangutorum O.E.Schulz","perennial"
"Cardamine parviflora L.","annual"
"Cardamine trifolia L.","perennial"
"Cardamine trichocarpa Hochst. ex A.Rich.","annual"
"Cardamine resedifolia L.","perennial"
"Cardamine alpina Willd.","no_life_form_on_database"
"Cardamine bellidifolia L.","perennial"
"Cardamine pancicii Hayek","no_life_form_on_database"
"Cardamine glauca Spreng.","perennial"
"Cardamine glanduligera O.Schwarz","perennial"
"Cardamine plumierii Vill.","biennial"
"Cardamine carnosa Waldst. & Kit.","perennial"
"Cardamine graeca L.","annual"
"Barbarea australis Hook.f.","annual"
"Barbarea grayi Hewson","annual"
"Barbarea orthoceras Ledeb.","biennial"
"Barbarea verna (Mill.) Asch. Asch. (Mill.)","biennial"
"Barbarea intermedia Boreau","biennial"
"Barbarea vulgaris R.Br.","biennial"
"Barbarea stricta Andrz. ex Besser","biennial"
"Andrzeiowskia cardamine Rchb.","annual"
"Cardamine rupestris F.Malý","annual"
"Cardamine maritima Port.","annual"
"Cardamine serbica Pancic","no_life_form_on_database"
"Cardamine monteluccii Brilli-Catt. & Gubellini","annual"
"Cardamine fialae Fritsch","annual"
"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.","perennial"
"Iodanthus pinnatifidus Prantl","perennial"
"Rorippa dubia (Pers.) H.Hara H.Hara (Pers.)","annual"
"Rorippa indica Hochr.","no_life_form_on_database"
"Rorippa palustris (L.) Besser Besser (L.)","annual"
"Rorippa islandica Schinz & Thell.","annual"
"Rorippa amphibia (L.) Besser Besser (L.)","perennial"
"Rorippa sylvestris (L.) Besser Besser (L.)","perennial"
"Rorippa austriaca Spach","perennial"
"Sisymbrella aspera (L.) Spach Spach (L.)","annual"
"Rorippa divaricata (Hook.f.) Garn.-Jones & Jonsell Garn.-Jones & Jonsell (Hook.f.)","annual"
"Nasturtium microphyllum (Boenn. ex Rchb.) Rchb. Rchb. (Boenn. ex Rchb.)","perennial"
"Nasturtium officinale R.Br.","perennial"
"Leavenworthia torulosa A.Gray","annual"
"Leavenworthia texana Mahler","annual"
"Leavenworthia aurea Torr.","annual"
"Leavenworthia stylosa A.Gray","annual"
"Leavenworthia exigua Rollins","annual"
"Leavenworthia crassa Rollins","annual"
"Leavenworthia alabamica Rollins","annual"
"Leavenworthia uniflora (Michx.) Britton Britton (Michx.)","annual"
"Selenia dissecta Torr. & A.Gray","annual"
"Selenia mexicana Standl.","no_life_form_on_database"
"Selenia grandis R.F.Martin","annual"
"Selenia jonesii Cory","annual"
"Selenia aurea Nutt.","annual"
"Planodes virginicum (L.) Greene Greene (L.)","annual"
"Ornithocarpa torulosa Rollins","no_life_form_on_database"
"Aplanodes doidgeana Marais","perennial"
