"species","life_form"
"Oreocharis saxatilis (Hemsl.) Mich.Möller & A.Weber Mich.Möller & A.Weber (Hemsl.)","perennial"
"Oreocharis concava (Craib) Mich.Möller & A.Weber Mich.Möller & A.Weber (Craib)","perennial"
"Oreocharis convexa (Craib) Mich.Möller & A.Weber Mich.Möller & A.Weber (Craib)","perennial"
"Oreocharis rhombifolia (K.Y.Pan) Mich.Möller & A.Weber Mich.Möller & A.Weber (K.Y.Pan)","perennial"
"Oreocharis humilis (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","perennial"
"Oreocharis rosthornii (Diels) Mich.Möller & A.Weber Mich.Möller & A.Weber (Diels)","perennial"
"Oreocharis mileensis (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","perennial"
"Oreocharis muscicola (Craib) Mich.Möller & A.Weber Mich.Möller & A.Weber (Craib)","no_life_form_on_database"
"Oreocharis begoniifolia (H.W.Li) Mich.Möller & A.Weber Mich.Möller & A.Weber (H.W.Li)","perennial"
"Oreocharis primuliflora (Batalin) Mich.Möller & A.Weber Mich.Möller & A.Weber (Batalin)","perennial"
"Oreocharis craibii Mich.Möller & A.Weber","perennial"
"Oreocharis urceolata (K.Y.Pan) Mich.Möller & A.Weber Mich.Möller & A.Weber (K.Y.Pan)","perennial"
"Oreocharis lancifolia (Franch.) Mich.Möller & A.Weber Mich.Möller & A.Weber (Franch.)","perennial"
"Oreocharis wangwentsaii Mich.Möller & A.Weber","perennial"
"Oreocharis aurea Dunn","perennial"
"Oreocharis longifolia (Craib) Mich.Möller & A.Weber Mich.Möller & A.Weber (Craib)","perennial"
"Oreocharis burtii (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","perennial"
"Oreocharis leiophylla W.T.Wang","no_life_form_on_database"
"Oreocharis auricula (S.Moore) C.B.Clarke C.B.Clarke (S.Moore)","perennial"
"Oreocharis xiangguiensis W.T.Wang & K.Y.Pan","perennial"
"Oreocharis magnidens Chun ex K.Y.Pan","perennial"
"Oreocharis jiangxiensis (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","perennial"
"Oreocharis benthamii C.B.Clarke","perennial"
"Oreocharis acaulis (Merr.) Mich.Möller & A.Weber Mich.Möller & A.Weber (Merr.)","perennial"
"Oreocharis dinghushanensis (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","perennial"
"Oreocharis stewardii (Chun) Mich.Möller & A.Weber Mich.Möller & A.Weber (Chun)","perennial"
"Oreocharis ronganensis (K.Y.Pan) Mich.Möller & A.Weber Mich.Möller & A.Weber (K.Y.Pan)","perennial"
"Oreocharis argyreia Chun ex K.Y.Pan","perennial"
"Oreocharis esquirolii H.Lév.","perennial"
"Oreocharis lungshengensis (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","perennial"
"Oreocharis sinensis (Oliv.) Mich.Möller & A.Weber Mich.Möller & A.Weber (Oliv.)","no_life_form_on_database"
"Oreocharis sinohenryi (Chun) Mich.Möller & A.Weber Mich.Möller & A.Weber (Chun)","perennial"
"Oreocharis henryana Oliv.","perennial"
"Oreocharis primuloides (Miq.) H.Lév. H.Lév. (Miq.)","no_life_form_on_database"
"Didymocarpus villosus D.Don","perennial"
"Didymocarpus podocarpus C.B.Clarke","perennial"
"Didymocarpus aromaticus Wall. ex D.Don","no_life_form_on_database"
"Didymocarpus stenanthos C.B.Clarke","perennial"
"Didymocarpus epithemoides B.L.Burtt","perennial"
"Didymocarpus biserratus Barnett","perennial"
"Didymocarpus hancei Hemsl.","no_life_form_on_database"
"Didymocarpus mengtze W.W.Sm.","perennial"
"Didymocarpus pseudomengtze W.T.Wang","perennial"
"Didymocarpus tristis Craib","perennial"
"Didymocarpus Wall._indet_sp1","no_life_form_on_database"
"Didymocarpus kerrii Craib","perennial"
"Didymocarpus purpureopictus Craib","perennial"
"Didymocarpus inflatus J.F.Maxwell & Nangngam","no_life_form_on_database"
"Didymocarpus purpureobracteatus W.W.Sm.","perennial"
"Didymocarpus megaphyllus Barnett","perennial"
"Didymocarpus ovatus Barnett","perennial"
"Didymocarpus cordatus Wall.","no_life_form_on_database"
"Didymocarpus antirrhinoides A.Weber","perennial"
"Didymocarpus corchorifolius R.Brown","no_life_form_on_database"
"Didymocarpus citrinus Ridl.","perennial"
"Gyrocheilos lasiocalyx W.T.Wang","perennial"
"Gyrocheilos retrotrichus W.T.Wang","perennial"
"Didymocarpus cortusifolius (Hance) H.Lév. H.Lév. (Hance)","perennial"
"Allocheilos guangxiensis H.Q.Wen, Y.G.Wei & S.H.Zhong","no_life_form_on_database"
"Liebigia speciosa (Blume) DC. DC. (Blume)","no_life_form_on_database"
"Cathayanthe biflora Chun","perennial"
"Primulina longzhouensis (B.Pan & W.H.Wu) W.B.Xu & K.F.Chung W.B.Xu & K.F.Chung (B.Pan & W.H.Wu)","no_life_form_on_database"
"Primulina ningmingensis (Yan Liu & W.H.Wu) W.B.Xu & K.F.Chung W.B.Xu & K.F.Chung (Yan Liu & W.H.Wu)","perennial"
"Primulina jingxiensis (Yan Liu, W.B.Xu & H.S.Gao) W.B.Xu & K.F.Chung W.B.Xu & K.F.Chung (Yan Liu, W.B.Xu & H.S.Gao)","perennial"
"Primulina linearifolia (W.T.Wang) Yin Z.Wang Yin Z.Wang (W.T.Wang)","perennial"
"Primulina longgangensis (W.T.Wang) Yan Liu & Yin Z.Wang Yan Liu & Yin Z.Wang (W.T.Wang)","perennial"
"Primulina weii Mich.Möller & A.Weber","perennial"
"Primulina spinulosa (D.Fang & W.T.Wang) Yin Z.Wang Yin Z.Wang (D.Fang & W.T.Wang)","perennial"
"Primulina ophiopogoides (D.Fang & W.T.Wang) Yin Z.Wang Yin Z.Wang (D.Fang & W.T.Wang)","perennial"
"Primulina wentsaii (D.Fang & L.Zeng) Yin Z.Wang Yin Z.Wang (D.Fang & L.Zeng)","perennial"
"Primulina carnosifolia (C.Y.Wu ex H.W.Li) Yin Z.Wang Yin Z.Wang (C.Y.Wu ex H.W.Li)","perennial"
"Primulina minutimaculata (D.Fang & W.T.Wang) Yin Z.Wang Yin Z.Wang (D.Fang & W.T.Wang)","perennial"
"Primulina tabacum Hance","perennial"
"Primulina danxiaensis (W.B.Liao, S.S.Lin & R.J.Shen) W.B.Liao & K.F.Chung W.B.Liao & K.F.Chung (W.B.Liao, S.S.Lin & R.J.Shen)","no_life_form_on_database"
"Primulina mollifolia (D.Fang & W.T.Wang) J.M.Li & Yin Z.Wang J.M.Li & Yin Z.Wang (D.Fang & W.T.Wang)","perennial"
"Primulina rongshuiensis (Yan Liu & Y.S.Huang) W.B.Xu & K.F.Chung W.B.Xu & K.F.Chung (Yan Liu & Y.S.Huang)","no_life_form_on_database"
"Primulina pseudomollifolia W.B.Xu & Yan Liu","no_life_form_on_database"
"Primulina renifolia (D.Fang & D.H.Qin) J.M.Li & Yin Z.Wang J.M.Li & Yin Z.Wang (D.Fang & D.H.Qin)","perennial"
"Primulina cordifolia (D.Fang & W.T.Wang) Yin Z.Wang Yin Z.Wang (D.Fang & W.T.Wang)","perennial"
"Primulina spadiciformis (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","perennial"
"Primulina leprosa (Yan Liu & W.B.Xu) W.B.Xu & K.F.Chung W.B.Xu & K.F.Chung (Yan Liu & W.B.Xu)","perennial"
"Primulina pinnata (W.T.Wang) Yin Z.Wang Yin Z.Wang (W.T.Wang)","perennial"
"Primulina pinnatifida (Hand.-Mazz.) Yin Z.Wang Yin Z.Wang (Hand.-Mazz.)","perennial"
"Primulina dryas (Dunn) Mich.Möller & A.Weber Mich.Möller & A.Weber (Dunn)","perennial"
"Primulina lijiangensis (B.Pan & W.B.Xu) W.B.Xu & K.F.Chung W.B.Xu & K.F.Chung (B.Pan & W.B.Xu)","no_life_form_on_database"
"Primulina bipinnatifida (W.T.Wang) Yin Z.Wang & J.M.Li Yin Z.Wang & J.M.Li (W.T.Wang)","perennial"
"Primulina glandulosa (D.Fang, L.Zeng & D.H.Qin) Yin Z.Wang Yin Z.Wang (D.Fang, L.Zeng & D.H.Qin)","perennial"
"Primulina multifida B.Pan & K.F.Chung","no_life_form_on_database"
"Primulina flavimaculata (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","perennial"
"Primulina pteropoda (W.T.Wang) Yan Liu Yan Liu (W.T.Wang)","perennial"
"Primulina heterotricha (Merr.) Y.Dong & Yin Z.Wang Y.Dong & Yin Z.Wang (Merr.)","perennial"
"Primulina gemella (D.Wood) Yin Z.Wang Yin Z.Wang (D.Wood)","perennial"
"Petrocodon dealbatus Hance","perennial"
"Petrocodon coriaceifolius (Y.G.Wei) Y.G.Wei & A.Weber Y.G.Wei & A.Weber (Y.G.Wei)","no_life_form_on_database"
"Petrocodon scopulorum (Chun) Yin Z.Wang Yin Z.Wang (Chun)","perennial"
"Petrocodon ferrugineus Y.G.Wei","no_life_form_on_database"
"Petrocodon coccineus (C.Y.Wu) Yin Z.Wang Yin Z.Wang (C.Y.Wu)","perennial"
"Petrocodon hechiensis (Y.G.Wei, Yan Liu & F.Wen) Y.G.Wei & Mich.Möller Y.G.Wei & Mich.Möller (Y.G.Wei, Yan Liu & F.Wen)","no_life_form_on_database"
"Petrocodon integrifolius (D.Fang & L.Zeng) A.Weber & Mich.Möller A.Weber & Mich.Möller (D.Fang & L.Zeng)","perennial"
"Petrocodon lui (Yan Liu & W.B.Xu) A.Weber & Mich.Möller A.Weber & Mich.Möller (Yan Liu & W.B.Xu)","no_life_form_on_database"
"Petrocodon hispidus (W.T.Wang) A.Weber & Mich.Möller A.Weber & Mich.Möller (W.T.Wang)","perennial"
"Petrocodon niveolanosus (D.Fang & W.T.Wang) A.Weber & Mich.Möller A.Weber & Mich.Möller (D.Fang & W.T.Wang)","perennial"
"Hemiboea cavaleriei H.Lév.","perennial"
"Hemiboea C.B.Clarke_indet_sp2","no_life_form_on_database"
"Hemiboea subcapitata C.B.Clarke","perennial"
"Hemiboea gracilis Franch.","perennial"
"Hemiboea rubribracteata Z.Y.Li & Y.Liu","perennial"
"Hemiboea magnibracteata Y.G.Wei & H.Q.Wen","perennial"
"Hemiboea longzhouensis W.T.Wang","perennial"
"Hemiboea longgangensis Z.Y.Li","perennial"
"Hemiboea purpureotincta (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","no_life_form_on_database"
"Hemiboea follicularis C.B.Clarke","perennial"
"Hemiboea omeiensis W.T.Wang","perennial"
"Hemiboea fangii Chun ex Z.Y.Li","perennial"
"Hemiboea ovalifolia (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","no_life_form_on_database"
"Lysionotus forrestii W.W.Sm.","perennial"
"Lysionotus petelotii Pellegr.","perennial"
"Lysionotus pauciflorus Maxim.","perennial"
"Lysionotus chingii Chun ex W.T.Wang","perennial"
"Lysionotus oblongifolius W.T.Wang","perennial"
"Lysionotus denticulosus W.T.Wang","perennial"
"Anna mollifolia (W.T.Wang) W.T.Wang & K.Y.Pan W.T.Wang & K.Y.Pan (W.T.Wang)","perennial"
"Anna submontana Pellegr.","perennial"
"Anna ophiorrhizoides (Hemsl.) B.L.Burtt & R.A.Davidson B.L.Burtt & R.A.Davidson (Hemsl.)","perennial"
"Raphiocarpus sinicus Chun","perennial"
