"species","life_form"
"Apeiba glabra Aubl.","perennial"
"Apeiba petoumo Aubl.","perennial"
"Apeiba membranacea Spruce ex Benth.","perennial"
"Apeiba tibourbou Aubl.","perennial"
"Entelea arborescens R.Br.","perennial"
"Sparrmannia africana L.fil.","perennial"
"Corchorus aestuans L.","annual"
"Corchorus orinocensis Kunth","annual"
"Corchorus arenicola Hochr.","no_life_form_on_database"
"Corchorus psammophilus Codd","perennial"
"Corchorus asplenifolius Burch.","perennial"
"Corchorus sulcatus Verdoorn","perennial"
"Corchorus pinnatipartitus Wild","perennial"
"Corchorus schimperi Cufod.","annual"
"Corchorus capsularis L.","annual"
"Corchorus longipedunculatus Mast.","annual"
"Corchorus L._indet_sp1","no_life_form_on_database"
"Corchorus tridens L.","annual"
"Corchorus cunninghamii F.Muell.","no_life_form_on_database"
"Corchorus kirkii N.E.Br.","perennial"
"Corchorus confusus Wild","perennial"
"Corchorus hirsutus L.","perennial"
"Corchorus fascicularis Lam.","annual"
"Corchorus siliquosus L.","perennial"
"Corchorus olitorius L.","annual"
"Corchorus trilocularis L.","annual"
"Heliocarpus americanus L.","perennial"
"Heliocarpus appendiculatus Turcz.","perennial"
"Triumfetta calderonii Standl.","no_life_form_on_database"
"Triumfetta lappula L.","perennial"
"Heliocarpus pallidus Rose","perennial"
"Triumfetta annua L.","annual"
"Triumfetta pilosa Roth","perennial"
"Triumfetta semitriloba Jacq.","perennial"
"Glyphaea brevis (Spreng.) Monach. Monach. (Spreng.)","perennial"
"Glyphaea tomentosa Mast.","perennial"
"Colona auriculata (Desf.) Craib Craib (Desf.)","perennial"
"Goethalsia meiantha (J.D.Sm.) Burret Burret (J.D.Sm.)","perennial"
"Lueheopsis rugosa (Pulle) Burret Burret (Pulle)","perennial"
"Colona floribunda (Wall. ex Voigt) Craib Craib (Wall. ex Voigt)","perennial"
"Colona scabra (Sm.) Burret Burret (Sm.)","no_life_form_on_database"
"Grewia microthyrsa K.Schum. ex Burret","no_life_form_on_database"
"Grewia transzambesica Wild","perennial"
"Microcos paniculata L.","perennial"
"Microcos tomentosa Sm.","perennial"
"Microcos coriacea (Mast.) Burret Burret (Mast.)","perennial"
"Microcos argentata Burret","no_life_form_on_database"
"Microcos blattifolia (Corner) Rao, 1949 Rao, 1949 (Corner)","no_life_form_on_database"
"Microcos grandiflora (Pulle) Burret Burret (Pulle)","no_life_form_on_database"
"Microcos chungii (Merr.) Chun Chun (Merr.)","perennial"
"Microcos hirsuta (Korth.) Burret Burret (Korth.)","perennial"
"Luehea candida (DC.) Mart. Mart. (DC.)","perennial"
"Luehea speciosa Willd.","perennial"
"Luehea divaricata Mart.","perennial"
"Luehea seemannii Planch. & Triana","perennial"
"Desplatsia dewevrei (De Wild. & T.Durand) Burret Burret (De Wild. & T.Durand)","perennial"
"Grewia bicolor Roth","perennial"
"Grewia monticola Sond.","perennial"
"Grewia inaequilatera Garcke","perennial"
"Grewia micrantha Bojer","perennial"
"Grewia microcarpa K.Schum.","perennial"
"Grewia hexamita Burret","perennial"
"Grewia flava DC.","perennial"
"Grewia occidentalis L.","perennial"
"Grewia sulcata Mast.","perennial"
"Grewia lasiocarpa E.Mey. ex Harv.","perennial"
"Grewia pondoensis Burret","perennial"
"Grewia biloba G.Don","perennial"
"Grewia robusta Burch.","no_life_form_on_database"
"Grewia orientalis L.","perennial"
"Grewia caffra Meisn.","perennial"
"Grewia flavescens Juss.","perennial"
"Grewia gracillima Wild","perennial"
"Grewia falcistipula K.Schum.","perennial"
"Grewia villosa Willd.","perennial"
"Grewia kakothamnos K.Schum.","perennial"
"Grewia lepidopetala Garcke","perennial"
"Grewia similis K.Schum.","perennial"
"Grewia stolzii Ulbr.","perennial"
"Grewia papuana Burret","no_life_form_on_database"
"Grewia glabra Blume","no_life_form_on_database"
"Grewia latifolia Mast.","no_life_form_on_database"
"Hydrogaster trinervis Kuhlm.","perennial"
"Mollia glabrescens Benth.","perennial"
"Mollia speciosa Mart.","perennial"
"Tetralix brachypetalus Griseb.","perennial"
"Trichospermum grewiifolium (A.Rich.) Kosterm. Kosterm. (A.Rich.)","no_life_form_on_database"
"Trichospermum pleiostigma (F.Muell.) Kosterm. Kosterm. (F.Muell.)","perennial"
"Trichospermum mexicanum (DC.) Baill. Baill. (DC.)","perennial"
"Vasivaea Baill._indet_sp2","no_life_form_on_database"
"Luehea paniculata C.Mart.","perennial"
"Waltheria madagascariensis (DC.) Hochr. Hochr. (DC.)","no_life_form_on_database"
