"species","life_form"
"Hypericum dichotomum Lam.","perennial"
"Hypericum drummondii (Spach) Steud. Steud. (Spach)","annual"
"Hypericum terrae-firmae Sprague & Riley","perennial"
"Hypericum denticulatum Walter","perennial"
"Hypericum gentianoides (L.) Britton, Sterns & Poggenb. Britton, Sterns & Poggenb. (L.)","annual"
"Hypericum garciae Pierce","perennial"
"Hypericum thuyoides Kunth","perennial"
"Hypericum simonsii N.Robson","perennial"
"Hypericum woodianum N.Robson","perennial"
"Hypericum laricifolium Juss.","perennial"
"Hypericum cuatrecasii Gleason","perennial"
"Hypericum lycopodioides Triana & Planch.","perennial"
"Hypericum humboldtianum Steud.","perennial"
"Hypericum cardonae Cuatrec.","perennial"
"Hypericum irazuense Kuntze, 1891","perennial"
"Hypericum magniflorum Cuatrec.","perennial"
"Hypericum gleasonii N.Robson","perennial"
"Hypericum mexicanum L.","perennial"
"Hypericum myricariifolium Hieron.","perennial"
"Hypericum goyanesii Cuatrec.","perennial"
"Hypericum cymobrathys N.Robson","perennial"
"Hypericum bryoides Gleason","perennial"
"Hypericum tetrastichum Cuatrec.","perennial"
"Hypericum selaginella N.Robson","perennial"
"Hypericum lancioides subsp. congestiflorum (Triana & Planch.) N.Robson N.Robson (Triana & Planch.)","perennial"
"Hypericum strictum Malleev","perennial"
"Hypericum lancifolium Gleason","perennial"
"Hypericum strictum subsp. compactum (Triana & Planch.) N.Robson N.Robson (Triana & Planch.)","no_life_form_on_database"
"Hypericum marahuacanum subsp. chimantaicum N.Robson","perennial"
"Hypericum juniperinum (L.fil.) Kunth Kunth (L.fil.)","perennial"
"Hypericum lancioides Cuatrec.","perennial"
"Hypericum llanganaticum N.Robson","perennial"
"Hypericum aciculare Kunth","perennial"
"Hypericum sprucei N.Robson","perennial"
"Hypericum prostratum Cuatrec.","perennial"
"Hypericum costaricense N.Robson","perennial"
"Hypericum ruscoides Cuatrec.","perennial"
"Hypericum pimeleoides Planch. & Linden ex Triana & Planch.","perennial"
"Hypericum hartwegii Benth.","perennial"
"Hypericum maguirei N.Robson","perennial"
"Hypericum andinum Gleason","perennial"
"Hypericum harlingii N.Robson","perennial"
"Hypericum callacallanum N.Robson","perennial"
"Hypericum struthiolifolium Juss.","perennial"
"Hypericum decandrum Turcz.","perennial"
"Hypericum gnidioides Seem.","perennial"
"Hypericum brevistylum Choisy","annual"
"Hypericum loxense subsp. loxense","perennial"
"Hypericum silenoides Juss.","annual"
"Hypericum quitense R.Keller","perennial"
"Hypericum quitense R.Keller","perennial"
"Hypericum pratense Cham. & Schltdl.","annual"
"Hypericum philonotis Cham. & Schltdl.","annual"
"Hypericum arbuscula Standl. & Steyerm.","perennial"
"Hypericum silenoides Juss.","annual"
"Hypericum thesiifolium Kunth","annual"
"Hypericum connatum Lam.","perennial"
"Hypericum brasiliense Choisy","perennial"
"Hypericum campestre subsp. campestre","no_life_form_on_database"
"Hypericum linoides A.St.-Hil.","no_life_form_on_database"
"Hypericum polyanthemum Klotzsch","perennial"
"Hypericum rigidum subsp. rigidum","no_life_form_on_database"
"Hypericum ternum A.St.-Hil.","perennial"
"Hypericum gramineum G.Forst.","annual"
"Hypericum japonicum Thunb.","annual"
"Hypericum canadense L.","annual"
"Hypericum microsepalum (Torr. & A.Gray) A.Gray A.Gray (Torr. & A.Gray)","perennial"
"Hypericum tetrapetalum Lam.","perennial"
"Hypericum apocynifolium Small","perennial"
"Hypericum nudiflorum Michx. ex Willd.","perennial"
"Hypericum hypericoides subsp. hypericoides","perennial"
"Hypericum cistifolium Lam.","perennial"
"Hypericum buckleyi S.Watson","perennial"
"Hypericum brachyphyllum (Spach) Steud. Steud. (Spach)","perennial"
"Hypericum suffruticosum W.P.Adams & N.Robson","perennial"
"Hypericum tenuifolium Pursh","perennial"
"Hypericum densiflorum Pursh","perennial"
"Hypericum prolificum L.","perennial"
"Hypericum kalmianum L.","perennial"
"Hypericum frondosum Michx.","perennial"
"Hypericum lobocarpum Gatt.","perennial"
"Hypericum crux-andreae (L.) Crantz","no_life_form_on_database"
"Hypericum myrtifolium Lam.","perennial"
"Hypericum nitidum Lam.","perennial"
"Hypericum lloydii (Svenson) W.P.Adams W.P.Adams (Svenson)","perennial"
"Hypericum fasciculatum Lam.","perennial"
"Hypericum lissophloeus W.P.Adams","perennial"
"Hypericum chapmanii W.P.Adams","perennial"
"Hypericum galioides Lam.","perennial"
"Hypericum adpressum W.P.C.Barton","perennial"
"Hypericum sphaerocarpum Michx.","perennial"
"Hypericum dolabriforme Vent.","perennial"
"Hypericum fauriei R.Keller","perennial"
"Hypericum fraseri (Spach) Steud. Steud. (Spach)","perennial"
"Hypericum virginicum var. fraseri (Spach) Fernald Fernald (Spach)","no_life_form_on_database"
"Hypericum tubulosum Walter","perennial"
"Hypericum virginicum L.","perennial"
"Hypericum walteri J.F.Gmel.","perennial"
