"species","life_form"
"Festuca luciarum Connor","perennial"
"Festuca multinodis Petrie & Hack.","perennial"
"Festuca coxii (Petrie) Hack. Hack. (Petrie)","perennial"
"Festuca ultramafica Connor","perennial"
"Festuca heterophylla Lam.","perennial"
"Festuca rubra L.","perennial"
"Festuca queriana Litard.","perennial"
"Festuca rifana Litard. & Maire","perennial"
"Festuca nigrescens Lam.","perennial"
"Festuca rothmaleri (Litard.) Markgr.-Dann. Markgr.-Dann. (Litard.)","perennial"
"Festuca nevadensis (Hack.) Markgr.-Dann. Markgr.-Dann. (Hack.)","perennial"
"Festuca ampla Hack.","perennial"
"Festuca iberica (Hack.) K.Richt. K.Richt. (Hack.)","perennial"
"Festuca francoi Fern.Prieto, C.Aguiar, E.Días & M.I.Gut.","perennial"
"Festuca petraea Guthnick","perennial"
"Festuca rivularis Boiss.","perennial"
"Festuca agustini Linding.","perennial"
"Festuca jubata Lowe","perennial"
"Festuca hephaestophila Nees ex Steud.","perennial"
"Festuca elata Keng","perennial"
"Micropyrum patens (Brot.) Rothm. Rothm. (Brot.)","annual"
"Micropyrum tenellum (L.) Link Link (L.)","no_life_form_on_database"
"Vulpia bromoides (L.) Gray Gray (L.)","no_life_form_on_database"
"Vulpia muralis (Kunth) Nees Nees (Kunth)","no_life_form_on_database"
"Vulpia brevis Boiss. & Kotschy","no_life_form_on_database"
"Vulpia fasciculata (Forssk.) Samp. Samp. (Forssk.)","no_life_form_on_database"
"Vulpia sicula (C.Presl) Link Link (C.Presl)","no_life_form_on_database"
"Vulpia geniculata (L.) Link Link (L.)","no_life_form_on_database"
"Vulpia membranacea (L.) Dumort. Dumort. (L.)","no_life_form_on_database"
"Vulpia fontquerana Melderis & Stace","no_life_form_on_database"
"Vulpia alopecuros (Schousb.) Link Link (Schousb.)","no_life_form_on_database"
"Festuca plicata Hack.","perennial"
"Vulpia unilateralis (L.) Stace Stace (L.)","no_life_form_on_database"
"Wangenheimia lima (L.) Trin. Trin. (L.)","annual"
"Narduroides salzmannii (Boiss.) Rouy Rouy (Boiss.)","no_life_form_on_database"
"Vulpia delicatula (Lag.) Dumort. Dumort. (Lag.)","no_life_form_on_database"
"Festuca clementei Boiss.","perennial"
"Festuca borderii Hack., 1881","no_life_form_on_database"
"Festuca orthophylla Pilg.","no_life_form_on_database"
"Festuca nardifolia Griseb.","perennial"
"Festuca rigescens (J.Presl) Kunth Kunth (J.Presl)","perennial"
"Festuca longivaginata Tovar","perennial"
"Festuca parodiana (St.-Yves) Nicora Nicora (St.-Yves)","perennial"
"Festuca calligera (Piper) Rydb. Rydb. (Piper)","perennial"
"Festuca tolucensis Kunth","perennial"
"Festuca cochabambana E.B.Alexeev","perennial"
"Festuca cundinamarcae E.B.Alexeev","perennial"
"Festuca cuzcoensis Stancík & P.M.Peterson","perennial"
"Festuca fragilis Luces","perennial"
"Festuca ulochaeta Steud.","perennial"
"Festuca andicola Kunth","perennial"
