"species","life_form"
"Bonplandia geminiflora Cav.","perennial"
"Cobaea minor Mart. & Galeotti","perennial"
"Cobaea pachysepala Standl.","perennial"
"Cobaea scandens Cav.","perennial"
"Cobaea penduliflora Peter","perennial"
"Cantua volcanica J.M.Porter & Prather","perennial"
"Cantua quercifolia Juss.","perennial"
"Cantua cuzcoensis Infantes","perennial"
"Cantua flexuosa (Ruiz & Pav.) Pers. Pers. (Ruiz & Pav.)","perennial"
"Cantua bicolor Lem.","perennial"
"Cantua candelilla Brand","perennial"
"Cantua pyrifolia Juss.","perennial"
"Cantua buxifolia Juss. ex Lam.","perennial"
"Aliciella latifolia (S.Watson) J.M.Porter J.M.Porter (S.Watson)","annual"
"Aliciella subnuda (Torr. ex A.Gray) J.M.Porter J.M.Porter (Torr. ex A.Gray)","biennial"
"Aliciella caespitosa (A.Gray) J.M.Porter J.M.Porter (A.Gray)","perennial"
"Aliciella tenuis (F.J.Sm. & Neese) J.M.Porter J.M.Porter (F.J.Sm. & Neese)","perennial"
"Aliciella hutchinsifolia (Rydb.) J.M.Porter J.M.Porter (Rydb.)","annual"
"Aliciella leptomeria (A.Gray) J.M.Porter J.M.Porter (A.Gray)","annual"
"Aliciella triodon (Eastw.) Brand Brand (Eastw.)","annual"
"Aliciella mcvickerae (M.E.Jones) J.M.Porter J.M.Porter (M.E.Jones)","annual"
"Giliastrum foetidum (Gillies ex Benth.) J.M.Porter J.M.Porter (Gillies ex Benth.)","perennial"
"Giliastrum purpusii (Brandegee) J.M.Porter J.M.Porter (Brandegee)","perennial"
"Giliastrum ludens (Shinners) J.M.Porter J.M.Porter (Shinners)","perennial"
"Giliastrum rigidulum Rydb.","annual"
"Ipomopsis sonorae (Rose) A.D.Grant A.D.Grant (Rose)","no_life_form_on_database"
"Ipomopsis havardii (A.Gray) V.E.Grant V.E.Grant (A.Gray)","no_life_form_on_database"
"Dayia grantii J.M.Porter","perennial"
"Bryantiella glutinosa (Phil.) J.M.Porter J.M.Porter (Phil.)","no_life_form_on_database"
"Dayia scabra (Brandegee) J.M.Porter J.M.Porter (Brandegee)","annual"
"Loeselia glandulosa (Cav.) G.Don G.Don (Cav.)","perennial"
"Loeselia coerulea (Cav.) G.Don G.Don (Cav.)","no_life_form_on_database"
"Loeselia ciliata L.","perennial"
"Loeselia involucrata G.Don","no_life_form_on_database"
"Loeselia pumila (Mart. & Galeotti) Walp. Walp. (Mart. & Galeotti)","no_life_form_on_database"
"Bryantiella palmeri (S.Watson) J.M.Porter J.M.Porter (S.Watson)","annual"
"Ipomopsis effusa (A.Gray) Moran Moran (A.Gray)","no_life_form_on_database"
"Ipomopsis tenuifolia (A.Gray) V.E.Grant V.E.Grant (A.Gray)","no_life_form_on_database"
"Ipomopsis guttata (A.Gray) Moran Moran (A.Gray)","no_life_form_on_database"
"Ipomopsis roseata (Rydb.) V.E.Grant V.E.Grant (Rydb.)","perennial"
"Ipomopsis wrightii Gould","perennial"
"Ipomopsis gunnisonii (Torr. & A.Gray) V.E.Grant V.E.Grant (Torr. & A.Gray)","annual"
"Ipomopsis pumila (Nutt.) V.E.Grant V.E.Grant (Nutt.)","annual"
"Ipomopsis gossypifera (Gillies ex Benth.) V.E.Grant V.E.Grant (Gillies ex Benth.)","annual"
"Ipomopsis tridactyla (Rydb.) S.L.Welsh S.L.Welsh (Rydb.)","no_life_form_on_database"
"Ipomopsis congesta (Hook.) V.E.Grant V.E.Grant (Hook.)","perennial"
"Ipomopsis spicata (Nutt.) V.E.Grant V.E.Grant (Nutt.)","perennial"
"Ipomopsis polycladon (Torr.) V.E.Grant V.E.Grant (Torr.)","annual"
"Ipomopsis macombii (Torr.) V.E.Grant V.E.Grant (Torr.)","perennial"
"Ipomopsis thurberi (Torr. ex Gray) V.E.Grant V.E.Grant (Torr. ex Gray)","no_life_form_on_database"
"Ipomopsis wendtii Henrickson","no_life_form_on_database"
"Ipomopsis rubra (L.) Wherry Wherry (L.)","biennial"
"Ipomopsis arizonica (Greene) Wherry Wherry (Greene)","biennial"
"Ipomopsis multiflora (Nutt.) V.E.Grant V.E.Grant (Nutt.)","perennial"
