species,life_form,source,notes_1,notes_2
Solanum chenopodinum F.Muell.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum ferocissimum Lindl.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum stelligerum Sm.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum latens A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum chenopodium Raf.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum gympiense Symon,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum densevestitum F.Muell. ex Benth.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum nemophilum F.Muell.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum hapalum A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum innoxium A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum johnsonianum A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum discolor R.Br.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum ×shirleyanum Domin,perennial,https://solanaceaesource.myspecies.info,manually_curated,check name
Solanum corifolium F.Muell.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum cookii Symon,perennial,https://solanaceaesource.myspecies.info,manually_curated,"""Shrub or small tree """
Solanum dissectum Symon,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum stupefactum Symon,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum furfuraceum R.Br.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum rixosum A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum incompletum Dunal,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum sandwicense Hook. & Arn.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum mitchellianum Domin,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum semiarmatum F.Muell.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum pancheri Guillaumin,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum vaccinioides Schltr.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum brownii Dunal,no_life_form_on_database,,,
Solanum curvicuspe Domin,no_life_form_on_database,,,
Solanum viridifolium Dunal,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum macoorai F.M.Bailey,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum dimorphispinum C.T.White,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum amblymerum Dunal,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum limitare A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum inaequilaterum Domin,no_life_form_on_database,,,
Solanum acanthodapis A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum serpens A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum neoanglicum A.R.Bean,no_life_form_on_database,,,
Solanum nobile A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum argopetalum A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum papaverifolium Symon,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum sturtianum F.Muell.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum stenopterum A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum lythrocarpum A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum petrophilum F.Muell.,no_life_form_on_database,,,
Solanum ellipticum R.Br.,no_life_form_on_database,,,
Solanum quadriloculatum F.Muell.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum dianthophorum Dunal,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum centrale J.M.Black,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum esuriale Lindl.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum cinereum R.Br.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum prinophyllum Dunal,no_life_form_on_database,,,
Solanum pungetium R.Br.,no_life_form_on_database,,,
Solanum campanulatum R.Br.,no_life_form_on_database,,,
Solanum ditrichum A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum vicinum A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum elachophyllum F.Muell.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum jucundum A.R.Bean,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum tetrathecum F.Muell.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum nummularium S.Moore,no_life_form_on_database,,,
Solanum orbiculatum Dunal,no_life_form_on_database,,,
Solanum oligacanthum F.Muell.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum hoplopetalum Bitter & Summerh.,no_life_form_on_database,,,
Solanum hystrix R.Br.,no_life_form_on_database,,,
Solanum asymmetriphyllum Specht,no_life_form_on_database,,,
"Solanum sejunctum Brennan, Martine & Symon",no_life_form_on_database,,,
Solanum chippendalei Symon,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum diversiflorum F.Muell.,no_life_form_on_database,,,
Solanum phlomoides A.Cunn. ex Benth.,no_life_form_on_database,,,
Solanum beaugleholei Symon,no_life_form_on_database,,,
Solanum clarkiae Symon,no_life_form_on_database,,,
Solanum melanospermum F.Muell.,no_life_form_on_database,,,
Solanum heteropodium Symon,no_life_form_on_database,,,
Solanum oedipus Symon,no_life_form_on_database,,,
Solanum cataphractum A.Cunn. ex Benth.,no_life_form_on_database,,,
Solanum petraeum Symon,no_life_form_on_database,,,
Solanum tudununggae Symon,no_life_form_on_database,,,
Solanum vansittartense C.A.Gardner,no_life_form_on_database,,,
Solanum leopoldense Symon,no_life_form_on_database,,,
Solanum carduiforme F.Muell.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum cunninghamii Benth.,no_life_form_on_database,,,
Solanum dioicum W.Fitzg.,no_life_form_on_database,,,
Solanum cleistogamum Symon,no_life_form_on_database,,,
Solanum horridum Dunal,no_life_form_on_database,,,
Solanum echinatum R.Br.,annual,https://solanaceaesource.myspecies.info,manually_curated,
Solanum lucani F.Muell.,annual,https://solanaceaesource.myspecies.info,manually_curated,
Solanum fusiforme Domin,no_life_form_on_database,,,
Solanum lasiophyllum Dunal,no_life_form_on_database,,,
Solanum coactiliferum J.M.Black,no_life_form_on_database,,,
Solanum oldfieldii F.Muell.,no_life_form_on_database,,,
Solanum myoxotrichum Baker,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum pyracanthos Bojer ex Dunal,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum batoides D' Arcy & Rakot.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum mahoriense D' Arcy & Rakot.,no_life_form_on_database,,,
Solanum bumeliifolium Dunal,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum heinianum D' Arcy & R.C.Keating,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum toliaraea D' Arcy & Rakot.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum campylacanthum Hochst. ex A.Rich.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum panduriforme E.Mey.,perennial,https://solanaceaesource.myspecies.info,manually_curated,
Solanum incanum L.,perennial,,,
